typeofaction,sourceid,destinationid,amountofmoney,year,month,day,dayofweek,isfraud
cash-in,92735,30584,306537,2019,3,4,0,1
cash-in,92735,17423,306537,2019,2,25,0,1
cash-in,92735,44570,306537,2019,7,1,0,1
cash-in,1615,72623,639229,2019,7,18,3,1
cash-in,1615,6322,639229,2019,4,25,3,1
cash-in,1615,19592,639229,2019,3,9,5,1
cash-in,1615,21254,639230,2019,4,23,1,1
cash-in,1615,54400,639230,2019,5,30,3,1
cash-in,1615,8552,639230,2019,3,5,1,1
cash-in,1615,80966,639230,2019,5,20,0,1
cash-in,1615,46860,639230,2019,5,14,1,1
cash-in,1615,7203,639230,2019,3,29,4,1
cash-in,1615,11667,639230,2019,5,13,0,1
cash-in,1615,6054,639230,2019,5,26,6,1
cash-in,1615,37081,639230,2019,3,18,0,1
cash-in,1615,33284,639230,2019,4,16,1,1
cash-in,1615,3335,639230,2019,7,4,3,1
cash-in,4161,7806,249081,2019,6,15,5,1
cash-in,4161,93672,249081,2019,3,14,3,1
cash-in,4161,75260,249081,2019,3,28,3,1
cash-in,4161,52002,249081,2019,3,21,3,1
cash-in,4161,50023,249081,2019,6,4,1,1
cash-in,4161,7038,249081,2019,6,16,6,1
cash-in,4161,32828,249081,2019,5,23,3,1
cash-in,4161,99617,249081,2019,5,15,2,1
cash-in,4161,34858,249081,2019,6,19,2,1
cash-in,4161,28744,249081,2019,2,21,3,1
cash-in,4161,43619,249081,2019,5,3,4,1
cash-in,4161,96342,249082,2019,3,6,2,1
cash-in,4161,27404,249082,2019,5,31,4,1
cash-in,4161,1599,249082,2019,6,15,5,1
cash-in,4161,98501,249082,2019,4,26,4,1
cash-in,4161,94376,249082,2019,3,3,6,1
cash-in,4161,44546,249082,2019,6,18,1,1
cash-in,4161,6724,249082,2019,6,22,5,1
cash-in,4161,10834,249082,2019,6,14,4,1
cash-in,4161,88949,249082,2019,3,5,1,1
cash-in,4161,54547,249082,2019,5,21,1,1
cash-in,4161,76270,249082,2019,3,10,6,1
cash-in,4161,64321,249082,2019,4,26,4,1
cash-in,4161,73770,249082,2019,6,16,6,1
cash-in,4161,39477,249082,2019,3,26,1,1
cash-in,4161,29501,249082,2019,6,11,1,1
cash-in,4161,2174,249082,2019,5,3,4,1
cash-in,4161,83480,249082,2019,5,25,5,1
cash-in,4161,49193,249082,2019,2,23,5,1
cash-in,33203,7242,882647,2019,3,14,3,1
cash-in,33203,784,882647,2019,5,26,6,1
cash-in,33203,65196,882647,2019,7,6,5,1
cash-in,33203,80364,882647,2019,2,26,1,1
cash-in,33203,8056,882647,2019,7,2,1,1
cash-in,33203,69621,882647,2019,5,7,1,1
cash-in,33203,97479,882648,2019,6,4,1,1
cash-in,33203,34537,882648,2019,6,11,1,1
cash-in,33203,15088,882648,2019,7,17,2,1
cash-in,41969,65969,1835026,2019,3,26,1,1
cash-in,41969,13881,1835026,2019,2,26,1,1
cash-in,41969,76026,1835027,2019,7,5,4,1
cash-in,41969,92875,1835027,2019,4,26,4,1
cash-in,41969,69841,1835027,2019,7,9,1,1
cash-in,37177,21392,362164,2019,3,9,5,1
cash-in,37177,90607,362164,2019,5,19,6,1
cash-in,37177,88400,362164,2019,6,14,4,1
cash-in,37177,70964,362164,2019,7,16,1,1
cash-in,37177,63029,362164,2019,4,15,0,1
cash-in,37177,80337,362164,2019,3,15,4,1
cash-in,37177,14656,362164,2019,5,26,6,1
cash-in,37177,89730,362164,2019,7,11,3,1
cash-in,37177,93055,362164,2019,4,20,5,1
cash-in,37177,68699,362164,2019,3,15,4,1
cash-in,37177,68229,362164,2019,4,12,4,1
cash-in,37177,13407,362164,2019,5,6,0,1
cash-in,37177,887,362164,2019,6,22,5,1
cash-in,37177,48011,362164,2019,5,21,1,1
cash-in,37177,3092,362164,2019,4,11,3,1
cash-in,37177,57772,362164,2019,3,3,6,1
cash-in,37177,31269,362164,2019,7,5,4,1
cash-in,37177,69355,362164,2019,6,13,3,1
cash-in,37177,9363,362164,2019,3,2,5,1
cash-in,37177,30714,362164,2019,7,6,5,1
cash-in,37177,39631,362164,2019,2,23,5,1
cash-in,37177,33994,362164,2019,7,10,2,1
cash-in,37177,96016,362164,2019,3,17,6,1
cash-in,37177,67648,362164,2019,3,30,5,1
cash-in,31439,89434,554345,2019,6,11,1,1
cash-in,31439,90146,554345,2019,4,28,6,1
cash-in,31439,8611,554345,2019,4,3,2,1
cash-in,31439,3183,554345,2019,5,22,2,1
cash-in,31439,18533,554345,2019,7,3,2,1
cash-in,31439,6470,554345,2019,4,30,1,1
cash-in,31439,27405,554345,2019,7,1,0,1
cash-in,31439,97140,554345,2019,5,2,3,1
cash-in,31439,58911,554346,2019,5,7,1,1
cash-in,31439,20213,554346,2019,5,24,4,1
cash-in,31439,17450,554346,2019,4,14,6,1
cash-in,31439,63072,554346,2019,2,28,3,1
cash-in,31439,84089,554346,2019,4,19,4,1
cash-in,31439,42081,554346,2019,2,27,2,1
cash-in,84352,79147,640046,2019,6,13,3,1
cash-in,84352,80053,640046,2019,2,21,3,1
cash-in,84352,61309,640047,2019,4,19,4,1
cash-in,84352,54502,640047,2019,6,5,2,1
cash-in,84352,94793,640047,2019,6,19,2,1
cash-in,84352,24728,640047,2019,3,13,2,1
cash-in,84352,36919,640047,2019,6,28,4,1
cash-in,84352,46738,640047,2019,6,14,4,1
cash-in,84352,62404,640047,2019,4,8,0,1
cash-in,84352,49860,640047,2019,7,15,0,1
cash-in,84352,9117,640047,2019,6,6,3,1
cash-in,95615,43405,708894,2019,4,29,0,1
cash-in,95615,97885,708894,2019,3,6,2,1
cash-in,95615,15768,708894,2019,5,29,2,1
cash-in,95615,13218,708894,2019,3,10,6,1
cash-in,95615,93239,708894,2019,5,30,3,1
cash-in,95615,20217,708895,2019,3,16,5,1
cash-in,95615,13591,708895,2019,6,28,4,1
cash-in,95615,65665,708895,2019,2,21,3,1
cash-in,95615,27376,708895,2019,3,23,5,1
cash-in,95615,1638,708895,2019,4,26,4,1
cash-in,95615,35853,708895,2019,6,10,0,1
cash-in,95615,70742,708895,2019,3,19,1,1
cash-in,41220,39061,1769355,2019,6,24,0,1
cash-in,41220,48727,1769355,2019,4,22,0,1
cash-in,41220,21809,1769355,2019,4,3,2,1
cash-in,41220,26639,1769356,2019,6,3,0,1
cash-in,39284,62427,274171,2019,6,8,5,1
cash-in,39284,87467,274171,2019,3,22,4,1
cash-in,39284,53948,274171,2019,5,20,0,1
cash-in,39284,5032,274171,2019,6,10,0,1
cash-in,39284,68774,274171,2019,6,11,1,1
cash-in,39284,40321,274171,2019,3,25,0,1
cash-in,39284,95596,274171,2019,6,17,0,1
cash-in,39284,2955,274171,2019,6,24,0,1
cash-in,39284,91794,274171,2019,7,9,1,1
cash-in,39284,45479,274171,2019,6,25,1,1
cash-in,39284,63272,274171,2019,3,9,5,1
cash-in,39284,67144,274171,2019,7,4,3,1
cash-in,39284,7228,274171,2019,5,6,0,1
cash-in,39284,47704,274171,2019,6,23,6,1
cash-in,39284,74691,274171,2019,6,18,1,1
cash-in,39284,4429,274171,2019,7,3,2,1
cash-in,39284,13670,274171,2019,7,1,0,1
cash-in,39284,85867,274171,2019,7,12,4,1
cash-in,39284,18192,274171,2019,6,7,4,1
cash-in,39284,28414,274171,2019,7,19,4,1
cash-in,39284,55092,274171,2019,3,22,4,1
cash-in,39284,4394,274171,2019,3,30,5,1
cash-in,39284,74901,274171,2019,6,23,6,1
cash-in,39284,2683,274171,2019,6,28,4,1
cash-in,39284,87826,274171,2019,2,21,3,1
cash-in,39284,13963,274171,2019,3,6,2,1
cash-in,39284,29925,274171,2019,7,10,2,1
cash-in,39284,61097,274172,2019,3,4,0,1
cash-in,39284,13638,274172,2019,6,1,5,1
cash-in,82688,77924,292038,2019,5,31,4,1
cash-in,82688,91706,292038,2019,2,27,2,1
cash-in,82688,87880,292038,2019,3,31,6,1
cash-in,82688,18305,292038,2019,5,31,4,1
cash-in,82688,74062,292038,2019,5,5,6,1
cash-in,82688,83006,292038,2019,5,23,3,1
cash-in,82688,39778,292038,2019,5,30,3,1
cash-in,82688,32368,292038,2019,4,20,5,1
cash-in,82688,12943,292038,2019,3,12,1,1
cash-in,82688,67262,292038,2019,4,13,5,1
cash-in,82688,48186,292038,2019,6,5,2,1
cash-in,82688,6015,292038,2019,6,30,6,1
cash-in,82688,34921,292038,2019,4,11,3,1
cash-in,82688,28976,292038,2019,4,29,0,1
cash-in,82688,16779,292038,2019,6,9,6,1
cash-in,82688,88240,292038,2019,2,28,3,1
cash-in,82688,4870,292038,2019,4,9,1,1
cash-in,82688,32981,292038,2019,7,14,6,1
cash-in,82688,75676,292038,2019,3,29,4,1
cash-in,82688,69388,292038,2019,4,8,0,1
cash-in,82688,97318,292038,2019,4,11,3,1
cash-in,82688,42411,292039,2019,4,4,3,1
cash-in,82688,13222,292039,2019,6,8,5,1
cash-in,82688,99496,292039,2019,4,30,1,1
cash-in,82688,1932,292039,2019,3,25,0,1
cash-in,30965,80135,398394,2019,3,27,2,1
cash-in,30965,88488,398394,2019,6,6,3,1
cash-in,30965,57075,398394,2019,6,15,5,1
cash-in,30965,40167,398394,2019,3,26,1,1
cash-in,30965,24981,398394,2019,2,24,6,1
cash-in,30965,57149,398394,2019,6,1,5,1
cash-in,30965,14030,398394,2019,5,28,1,1
cash-in,30965,45553,398394,2019,6,18,1,1
cash-in,30965,80750,398394,2019,5,9,3,1
cash-in,30965,49600,398394,2019,5,26,6,1
cash-in,30965,93262,398394,2019,4,6,5,1
cash-in,30965,25307,398394,2019,4,14,6,1
cash-in,30965,63112,398394,2019,4,23,1,1
cash-in,30965,14080,398394,2019,4,19,4,1
cash-in,30965,95733,398394,2019,6,2,6,1
cash-in,30965,63228,398394,2019,5,1,2,1
cash-in,30965,4845,398394,2019,7,7,6,1
cash-in,30965,45785,398395,2019,7,2,1,1
cash-in,30965,74470,398395,2019,7,5,4,1
cash-in,30965,32822,398395,2019,6,20,3,1
cash-in,30965,23309,398395,2019,3,10,6,1
cash-in,72032,68884,391866,2019,6,16,6,1
cash-in,72032,35234,391866,2019,4,30,1,1
cash-in,72032,44712,391866,2019,5,1,2,1
cash-in,72032,21863,391867,2019,6,12,2,1
cash-in,72032,30284,391867,2019,4,14,6,1
cash-in,72032,68776,391867,2019,4,20,5,1
cash-in,72032,77528,391867,2019,6,19,2,1
cash-in,72032,13268,391867,2019,7,20,5,1
cash-in,72032,12595,391867,2019,4,7,6,1
cash-in,72032,27847,391867,2019,6,11,1,1
cash-in,72032,15477,391867,2019,3,23,5,1
cash-in,72032,57885,391867,2019,2,23,5,1
cash-in,72032,76683,391867,2019,2,24,6,1
cash-in,72032,45427,391867,2019,3,5,1,1
cash-in,72032,92818,391867,2019,2,22,4,1
cash-in,72032,49478,391867,2019,6,13,3,1
cash-in,72032,67354,391867,2019,5,13,0,1
cash-in,72032,44038,391867,2019,3,20,2,1
cash-in,72032,31247,391867,2019,5,18,5,1
cash-in,72032,82095,391867,2019,6,25,1,1
cash-in,72032,63396,391867,2019,5,8,2,1
cash-in,24041,96977,322413,2019,3,3,6,1
cash-in,24041,33426,322413,2019,4,2,1,1
cash-in,24041,46541,322413,2019,7,10,2,1
cash-in,24041,23893,322413,2019,4,28,6,1
cash-in,24041,86853,322413,2019,4,5,4,1
cash-in,24041,45493,322413,2019,2,25,0,1
cash-in,24041,33601,322413,2019,3,9,5,1
cash-in,24041,16524,322413,2019,4,30,1,1
cash-in,24041,56913,322413,2019,4,21,6,1
cash-in,24041,36891,322413,2019,4,4,3,1
cash-in,24041,18626,322413,2019,6,16,6,1
cash-in,24041,1666,322413,2019,4,18,3,1
cash-in,24041,34756,322413,2019,6,25,1,1
cash-in,24041,66669,322413,2019,3,30,5,1
cash-in,24041,55422,322413,2019,7,13,5,1
cash-in,24041,39060,322413,2019,2,26,1,1
cash-in,24041,88176,322413,2019,6,6,3,1
cash-in,24041,21197,322413,2019,5,20,0,1
cash-in,24041,92217,322414,2019,4,8,0,1
cash-in,24041,39661,322414,2019,5,23,3,1
cash-in,24041,56984,322414,2019,3,20,2,1
cash-in,24041,9570,322414,2019,3,10,6,1
cash-in,24041,49937,322414,2019,4,11,3,1
cash-in,82410,59581,713808,2019,5,25,5,1
cash-in,82410,21955,713809,2019,3,5,1,1
cash-in,82410,15915,713809,2019,6,17,0,1
cash-in,82410,94012,713809,2019,7,5,4,1
cash-in,82410,25362,713809,2019,6,10,0,1
cash-in,82410,27412,713809,2019,4,15,0,1
cash-in,82410,79849,713809,2019,4,20,5,1
cash-in,82410,26063,713809,2019,5,5,6,1
cash-in,82410,77984,713809,2019,5,4,5,1
cash-in,82410,41940,713809,2019,2,27,2,1
cash-in,82410,88645,713809,2019,3,18,0,1
cash-in,82410,87881,713809,2019,2,23,5,1
cash-in,24441,12242,2954186,2019,7,15,0,1
cash-in,24441,23236,2954186,2019,3,31,6,1
cash-in,24441,94201,2954186,2019,4,20,5,1
cash-in,43439,91672,502828,2019,5,12,6,1
cash-in,43439,36605,502828,2019,7,5,4,1
cash-in,43439,82179,502828,2019,3,13,2,1
cash-in,43439,12117,502828,2019,7,5,4,1
cash-in,43439,53631,502828,2019,6,17,0,1
cash-in,43439,48679,502828,2019,7,6,5,1
cash-in,43439,13115,502828,2019,2,27,2,1
cash-in,43439,63955,502828,2019,3,14,3,1
cash-in,43439,16638,502828,2019,4,2,1,1
cash-in,43439,46827,502828,2019,5,20,0,1
cash-in,43439,46060,502828,2019,6,16,6,1
cash-in,43439,60266,502828,2019,3,11,0,1
cash-in,43439,5029,502828,2019,3,5,1,1
cash-in,43439,62290,502828,2019,7,13,5,1
cash-in,43439,89414,502828,2019,4,8,0,1
cash-in,43439,94137,502828,2019,4,4,3,1
cash-in,43439,58551,502828,2019,3,28,3,1
cash-in,43439,71167,502828,2019,7,20,5,1
cash-in,69208,42692,372321,2019,7,5,4,1
cash-in,69208,54010,372321,2019,6,12,2,1
cash-in,69208,44409,372321,2019,3,21,3,1
cash-in,69208,94632,372321,2019,4,28,6,1
cash-in,69208,51747,372321,2019,4,20,5,1
cash-in,69208,21453,372321,2019,7,2,1,1
cash-in,69208,42627,372321,2019,4,1,0,1
cash-in,69208,97637,372321,2019,3,3,6,1
cash-in,69208,66062,372321,2019,3,15,4,1
cash-in,69208,71259,372321,2019,5,2,3,1
cash-in,69208,55007,372321,2019,3,11,0,1
cash-in,69208,62050,372321,2019,7,2,1,1
cash-in,69208,23494,372321,2019,2,21,3,1
cash-in,69208,38720,372321,2019,5,30,3,1
cash-in,69208,24349,372321,2019,4,14,6,1
cash-in,69208,7654,372321,2019,6,3,0,1
cash-in,69208,85699,372321,2019,7,20,5,1
cash-in,69208,98036,372321,2019,3,13,2,1
cash-in,69208,32455,372321,2019,2,26,1,1
cash-in,69208,91032,372321,2019,6,28,4,1
cash-in,69208,6897,372321,2019,5,11,5,1
cash-in,69208,51077,372321,2019,6,12,2,1
cash-in,69208,13633,372321,2019,7,5,4,1
cash-in,69208,48273,372322,2019,6,16,6,1
cash-in,71475,10234,1002226,2019,3,9,5,1
cash-in,71475,75572,1002226,2019,4,26,4,1
cash-in,71475,50788,1002226,2019,4,4,3,1
cash-in,71475,8847,1002226,2019,5,3,4,1
cash-in,71475,34483,1002227,2019,5,15,2,1
cash-in,71475,72492,1002227,2019,2,22,4,1
cash-in,71475,54332,1002227,2019,4,29,0,1
cash-in,75076,30252,420044,2019,3,28,3,1
cash-in,75076,50080,420044,2019,5,2,3,1
cash-in,75076,98057,420044,2019,7,11,3,1
cash-in,75076,30180,420044,2019,7,17,2,1
cash-in,75076,92527,420044,2019,3,25,0,1
cash-in,75076,24618,420044,2019,7,9,1,1
cash-in,75076,6644,420044,2019,6,9,6,1
cash-in,75076,24841,420044,2019,7,16,1,1
cash-in,75076,20067,420044,2019,4,13,5,1
cash-in,75076,6646,420044,2019,5,20,0,1
cash-in,75076,90581,420044,2019,5,18,5,1
cash-in,75076,50112,420044,2019,5,23,3,1
cash-in,75076,75668,420044,2019,5,12,6,1
cash-in,75076,66439,420044,2019,4,18,3,1
cash-in,75076,16595,420044,2019,7,6,5,1
cash-in,75076,71373,420045,2019,3,19,1,1
cash-in,75076,49051,420045,2019,4,30,1,1
cash-in,75076,34544,420045,2019,2,21,3,1
cash-in,75076,1512,420045,2019,7,7,6,1
cash-in,82930,82726,779884,2019,4,1,0,1
cash-in,82930,72794,779884,2019,3,22,4,1
cash-in,82930,43090,779884,2019,5,16,3,1
cash-in,82930,16422,779884,2019,5,15,2,1
cash-in,82930,85116,779884,2019,4,8,0,1
cash-in,82930,83961,779884,2019,3,26,1,1
cash-in,82930,29156,779884,2019,3,5,1,1
cash-in,82930,89577,779884,2019,7,12,4,1
cash-in,82930,45031,779884,2019,3,12,1,1
cash-in,82930,67096,779885,2019,6,23,6,1
cash-in,13919,53522,323248,2019,7,13,5,1
cash-in,13919,61430,323248,2019,7,1,0,1
cash-in,13919,33512,323248,2019,7,5,4,1
cash-in,13919,45513,323248,2019,5,18,5,1
cash-in,13919,90767,323248,2019,4,28,6,1
cash-in,13919,11846,323248,2019,4,6,5,1
cash-in,13919,25667,323248,2019,7,14,6,1
cash-in,13919,27636,323248,2019,5,3,4,1
cash-in,13919,63975,323248,2019,5,25,5,1
cash-in,13919,50139,323248,2019,5,22,2,1
cash-in,13919,86945,323248,2019,3,24,6,1
cash-in,13919,87092,323248,2019,4,16,1,1
cash-in,13919,68015,323248,2019,3,27,2,1
cash-in,13919,79614,323248,2019,4,9,1,1
cash-in,13919,31440,323248,2019,5,14,1,1
cash-in,13919,57534,323248,2019,4,28,6,1
cash-in,13919,26472,323248,2019,2,24,6,1
cash-in,13919,6984,323248,2019,4,4,3,1
cash-in,13919,33911,323248,2019,5,3,4,1
cash-in,13919,44716,323248,2019,3,16,5,1
cash-in,13919,57919,323248,2019,4,29,0,1
cash-in,13919,95350,323248,2019,5,23,3,1
cash-in,13919,95241,323248,2019,4,25,3,1
cash-in,13919,59719,323249,2019,7,5,4,1
transfer,42454,32893,7270189,2019,2,25,0,1
transfer,32893,30530,7270189,2019,3,12,1,1
transfer,30530,36647,7270189,2019,3,17,6,1
transfer,36647,64269,7270189,2019,5,29,2,1
transfer,64269,48051,7270189,2019,5,31,4,1
transfer,48051,1970,7270189,2019,7,16,1,1
transfer,44881,76348,5983503,2019,3,6,2,1
transfer,76348,96871,5983503,2019,3,21,3,1
transfer,96871,70897,5983503,2019,4,10,2,1
transfer,70897,98417,5983503,2019,4,16,1,1
transfer,98417,77678,5983503,2019,4,25,3,1
transfer,77678,98047,5983503,2019,5,26,6,1
transfer,98047,60563,5983503,2019,6,5,2,1
transfer,60563,414,5983503,2019,7,15,0,1
transfer,414,84965,5983503,2019,7,19,4,1
transfer,58314,96855,6944610,2019,2,26,1,1
transfer,96855,92885,6944610,2019,2,27,2,1
transfer,92885,85539,6944610,2019,3,6,2,1
transfer,85539,74228,6944610,2019,3,26,1,1
transfer,74228,35778,6944610,2019,4,2,1,1
transfer,35778,66713,6944610,2019,4,8,0,1
transfer,66713,8567,6944610,2019,4,12,4,1
transfer,8567,87555,6944610,2019,4,19,4,1
transfer,87555,91021,6944610,2019,4,19,4,1
transfer,91021,59712,6944610,2019,4,21,6,1
transfer,59712,33274,6944610,2019,4,23,1,1
transfer,33274,95242,6944610,2019,5,7,1,1
transfer,95242,70731,6944610,2019,5,9,3,1
transfer,70731,41780,6944610,2019,5,10,4,1
transfer,41780,35225,6944610,2019,5,15,2,1
transfer,35225,47114,6944610,2019,5,21,1,1
transfer,47114,13272,6944610,2019,5,25,5,1
transfer,13272,5645,6944610,2019,5,31,4,1
transfer,5645,70436,6944610,2019,6,5,2,1
transfer,70436,2802,6944610,2019,6,5,2,1
transfer,2802,87433,6944610,2019,6,13,3,1
transfer,87433,90992,6944610,2019,6,28,4,1
transfer,90992,4943,6944610,2019,7,5,4,1
transfer,83481,18652,7259213,2019,2,24,6,1
transfer,18652,46559,7259213,2019,3,5,1,1
transfer,46559,82128,7259213,2019,3,15,4,1
transfer,82128,35540,7259213,2019,3,18,0,1
transfer,35540,48703,7259213,2019,4,3,2,1
transfer,48703,4689,7259213,2019,4,7,6,1
transfer,4689,73081,7259213,2019,4,14,6,1
transfer,73081,43005,7259213,2019,4,27,5,1
transfer,43005,23718,7259213,2019,4,29,0,1
transfer,23718,75731,7259213,2019,5,10,4,1
transfer,75731,13541,7259213,2019,5,12,6,1
transfer,13541,86616,7259213,2019,5,21,1,1
transfer,86616,30351,7259213,2019,5,23,3,1
transfer,30351,54421,7259213,2019,5,24,4,1
transfer,54421,71902,7259213,2019,5,26,6,1
transfer,71902,89585,7259213,2019,6,9,6,1
transfer,89585,62633,7259213,2019,6,11,1,1
transfer,62633,51413,7259213,2019,6,20,3,1
transfer,51413,51492,7259213,2019,6,20,3,1
transfer,51492,67532,7259213,2019,6,20,3,1
transfer,67532,20238,7259213,2019,6,27,3,1
transfer,20238,95209,7259213,2019,6,30,6,1
transfer,95209,12159,7259213,2019,7,1,0,1
transfer,12159,31132,7259213,2019,7,18,3,1
transfer,51905,83520,7042628,2019,3,13,2,1
transfer,83520,21933,7042628,2019,3,13,2,1
transfer,21933,28680,7042628,2019,3,14,3,1
transfer,28680,61453,7042628,2019,3,18,0,1
transfer,61453,99444,7042628,2019,4,23,1,1
transfer,99444,25410,7042628,2019,4,23,1,1
transfer,25410,98222,7042628,2019,5,27,0,1
transfer,98222,48954,7042628,2019,6,5,2,1
transfer,48954,62123,7042628,2019,6,11,1,1
transfer,62123,1008,7042628,2019,7,1,0,1
transfer,1008,19795,7042628,2019,7,8,0,1
transfer,19795,36123,7042628,2019,7,8,0,1
transfer,47590,16290,7130066,2019,3,8,4,1
transfer,16290,12859,7130066,2019,3,9,5,1
transfer,12859,60685,7130066,2019,3,9,5,1
transfer,60685,93590,7130066,2019,4,8,0,1
transfer,93590,41731,7130066,2019,4,26,4,1
transfer,41731,59544,7130066,2019,4,29,0,1
transfer,59544,34132,7130066,2019,5,5,6,1
transfer,34132,28150,7130066,2019,5,19,6,1
transfer,28150,44752,7130066,2019,5,23,3,1
transfer,44752,63384,7130066,2019,5,25,5,1
transfer,63384,28424,7130066,2019,5,27,0,1
transfer,28424,17067,7130066,2019,6,17,0,1
transfer,17067,61320,7130066,2019,7,5,4,1
transfer,61320,11181,7130066,2019,7,13,5,1
transfer,70212,19597,7474036,2019,3,3,6,1
transfer,19597,1265,7474036,2019,3,13,2,1
transfer,1265,66955,7474036,2019,3,28,3,1
transfer,66955,47361,7474036,2019,4,1,0,1
transfer,47361,55499,7474036,2019,5,11,5,1
transfer,55499,37773,7474036,2019,5,14,1,1
transfer,37773,25554,7474036,2019,5,17,4,1
transfer,25554,59135,7474036,2019,5,24,4,1
transfer,59135,50648,7474036,2019,6,2,6,1
transfer,50648,67134,7474036,2019,6,9,6,1
transfer,67134,98434,7474036,2019,6,15,5,1
transfer,98434,15793,7474036,2019,7,6,5,1
transfer,15793,28005,7474036,2019,7,17,2,1
transfer,28005,77462,7474036,2019,7,18,3,1
transfer,31270,93784,7629866,2019,3,8,4,1
transfer,93784,12394,7629866,2019,3,11,0,1
transfer,12394,12290,7629866,2019,3,27,2,1
transfer,12290,31377,7629866,2019,5,12,6,1
transfer,31377,45615,7629866,2019,6,1,5,1
transfer,45615,18899,7629866,2019,6,17,0,1
transfer,18899,79698,7629866,2019,6,22,5,1
transfer,79698,5891,7629866,2019,7,5,4,1
transfer,5891,27880,7629866,2019,7,6,5,1
transfer,29182,4588,7881878,2019,2,22,4,1
transfer,4588,30874,7881878,2019,3,17,6,1
transfer,30874,10085,7881878,2019,3,21,3,1
transfer,10085,75200,7881878,2019,4,8,0,1
transfer,75200,90043,7881878,2019,4,13,5,1
transfer,90043,18262,7881878,2019,5,10,4,1
transfer,18262,27723,7881878,2019,5,11,5,1
transfer,27723,76733,7881878,2019,5,19,6,1
transfer,76733,60635,7881878,2019,6,1,5,1
transfer,60635,79115,7881878,2019,6,3,0,1
transfer,79115,81153,7881878,2019,7,4,3,1
transfer,81153,61280,7881878,2019,7,7,6,1
transfer,61280,70824,7881878,2019,7,17,2,1
transfer,25682,59982,5505135,2019,2,21,3,1
transfer,59982,87061,5505135,2019,2,21,3,1
transfer,87061,55735,5505135,2019,2,26,1,1
transfer,55735,81463,5505135,2019,3,4,0,1
transfer,81463,29791,5505135,2019,3,20,2,1
transfer,29791,84810,5505135,2019,3,27,2,1
transfer,84810,18415,5505135,2019,3,31,6,1
transfer,18415,40262,5505135,2019,4,11,3,1
transfer,40262,91800,5505135,2019,4,12,4,1
