Id,Longitude,Latitude,Name,PlaceType,Borough
26,-74.04017359,40.69919477,Ellis Island,Island,Manhattan
83,-74.10316989,40.64230187,Snug Harbor,Harbor,Staten Island
82,-74.0946033,40.62728628,Silver Lake Park,Park,Staten Island
17,-74.11069895,40.61811022,Clove Lakes Park,Park,Staten Island
37,-74.05881837,40.60438473,Fort Wadsworth,Wadsworth,Staten Island
60,-74.0988295,40.56802528,Miller Field,Field,Staten Island
40,-74.12560544,40.54844479,Great Kills Park,Park,Staten Island
62,-74.11735759,40.58271473,Moravian Cemetery,Cemetery,Staten Island
52,-74.14250377,40.58215534,LaTourette Park,Park,Staten Island
93,-74.15824653,40.60061999,Willowbrook Park,Park,Staten Island
6,-74.17535438,40.53125317,Blue Heron Park,Park,Staten Island
94,-74.19242925,40.52173963,Wolfe's Pond Park,Park,Staten Island
64,-74.21806393,40.50966469,Mount Loretto,Loretto,Staten Island
19,-74.24856464,40.49956589,Conference House Park,Park,Staten Island
85,-74.20503666,40.5511835,South Shore Golf Course,Golf,Staten Island
38,-74.19497651,40.57405693,Fresh Kills,Kills,Staten Island
70,-73.91512178,40.58319524,Plumb Beach,Beach,Brooklyn
48,-73.78599901,40.64806756,John F. Kennedy International Airport,International Airport,Queens
51,-73.87428091,40.7754156,LaGuardia Airport,,Queens
47,-73.82628899,40.62287746,Jamaica Bay Wildlife Refuge,Wildlife Refuge,Brooklyn
13,-73.99369533,40.58507539,Calvert Vaux,Park,Brooklyn
43,-74.11492037,40.59043473,High Rock Park,Park,Staten Island
73,-74.00555273,40.67204727,Red Hook Park,Park,Brooklyn
80,-73.89847195,40.76444876,Saint Michael's Cemetery,Cemetery,Queens
75,-73.91682911,40.89230557,Riverdale Park,Park,Bronx
31,-73.86271387,40.69944758,Forest Park Golf Course,,Queens
87,-73.86501942,40.64582807,Spring Creek Park Preserve No Access,Park,Brooklyn
86,-73.84421119,40.646316,Spring Creek Park Gateway National Recreation Area,Park,Queens
