Total Active Loans,Total Average Loan Amount,2015 - 2016,2010 - 2014,Self Help Loan,Leveraged Loan,State Code
4119,49553.03,87390.14,73663.52,140,205,MS
5286,54616.35,91641.49,80146.05,415,395,MS
4142,45400.24,78631.44,70069.49,175,257,MS
1497,42365.19,63972.75,68209.44,62,64,MS
2,2865.00,,,0,0,MO
1,98500.00,,,0,0,MO
633,98281.91,115283.09,114027.42,11,68,MO
1063,75513.07,99512.29,91634.95,7,61,MO
189,79688.86,119891.80,94472.16,0,24,MO
985,76228.75,92949.24,88253.50,7,97,MO
563,71704.05,91482.77,88986.45,0,38,MO
2478,70885.91,90257.02,86616.75,79,110,MO
1652,105360.79,147523.93,140785.29,254,542,MT
529,72955.48,78967.67,84579.72,1,212,NE
50,96402.10,107623.82,115167.20,0,4,NE
1075,59152.59,75427.68,67591.90,0,309,NE
435,129514.30,170537.66,150013.60,32,137,NV
11,133279.23,176252.50,122636.57,0,1,NV
247,125080.00,156342.76,125157.77,33,76,NV
690,136884.00,156525.42,162757.33,0,88,NH
1001,110835.92,124139.58,125246.50,0,129,NH
205,77615.45,132565.55,133393.14,0,4,NJ
908,120475.15,150131.92,152041.25,0,16,NJ
370,111819.81,192118.18,131940.03,0,16,NJ
43,111131.82,81086.93,160536.36,0,0,NJ
104,128506.51,163734.05,157006.96,0,6,NJ
1,210000.00,,,0,0,NJ
31,147054.83,133720.87,175992.67,0,2,NJ
19,169686.17,204633.33,206217.95,0,1,NJ
29,150228.89,152380.28,212906.58,10,1,NJ
564,60966.04,71716.83,79593.88,208,4,NM
1472,73360.17,111994.62,98939.37,147,59,NM
888,90048.71,134504.96,124172.91,22,140,NM
141,137288.39,224715.91,191342.19,0,25,NY
1,29365.16,,,0,0,NY
111,119478.37,101820.24,172468.71,0,17,NY
369,105692.71,137554.77,134354.13,0,119,NY
100,94494.22,119504.49,135254.27,0,18,NY
1048,77044.81,94355.00,100526.76,0,294,NY
573,72821.61,105240.75,93103.31,0,47,NY
1009,68775.80,92342.47,86988.07,0,316,NY
404,79317.87,99512.77,95456.99,0,100,NY
108,82789.16,110947.08,102452.16,0,68,NY
1,139000.00,,,0,0,NY
755,73510.08,95039.06,90366.56,0,290,NY
1559,68889.34,96883.66,94263.23,0,199,NC
1130,87823.88,115762.69,113480.14,5,260,NC
1013,83281.35,129975.89,119059.03,0,112,NC
347,104913.79,135628.69,131540.23,2,51,NC
740,84252.62,108011.87,100549.47,1,213,NC
896,87966.55,118925.68,114911.74,0,150,NC
938,80362.80,117591.61,109791.45,38,132,NC
764,79826.67,104218.71,101982.26,30,145,NC
169,96165.79,135233.21,120385.68,0,46,NC
548,85578.40,121765.58,110512.68,23,238,NC
1181,102326.75,148708.26,129456.72,186,277,NC
86,105406.35,126485.44,130436.14,0,23,NC
930,100969.56,149489.67,132623.63,0,118,NC
858,77454.77,124449.23,119271.64,4,55,ND
159,114260.38,137968.72,124573.57,0,32,OH
355,80418.50,95828.15,94611.63,3,46,OH
1,162349.09,162349.09,,0,0,OH
824,87461.04,106633.08,104128.51,0,131,OH
410,77295.98,86347.09,82871.18,0,102,OH
1112,68819.61,86138.15,88157.64,2,526,OH
315,85117.71,113301.83,102261.89,0,83,OH
560,77733.97,95886.38,96798.98,0,56,OH
29,94629.57,120882.92,86455.03,0,8,OH
262,93876.03,112960.29,104937.55,89,77,OH
333,93966.48,110665.39,110459.54,26,49,OH
127,81180.27,110347.05,101389.23,4,40,OH
783,116005.99,121139.94,126323.53,0,249,OH
644,84452.71,99400.07,102786.68,50,179,OH
211,100156.46,108700.14,119955.42,0,56,OH
351,100471.30,125807.82,118063.95,75,77,OK
2085,60871.59,94880.86,85700.32,980,338,OK
856,65276.59,93912.45,90644.23,92,42,OK
601,73061.51,109589.79,93582.42,134,41,OK
139,60379.61,82683.23,77971.77,15,11,OK
321,130116.46,173448.08,155689.12,112,14,OR
797,114192.72,151123.09,136712.72,45,45,OR
52,152213.94,211403.78,190678.71,0,1,OR
970,104848.65,127711.25,127852.16,26,66,OR
261,115876.94,154758.37,156163.81,21,7,OR
664,79768.07,91906.31,101971.75,1,16,PA
477,111201.37,128412.43,140260.87,11,66,PA
1057,67824.35,94960.09,96172.49,0,110,PA
185,133968.72,175915.51,165906.33,0,7,PA
106,150414.01,237128.00,190315.13,0,14,PA
113,133535.11,154631.87,169046.30,0,3,PA
949,89785.49,124230.33,118314.56,49,136,PA
656,82779.95,114971.80,101873.44,0,113,PA
507,105035.56,125500.87,130493.57,34,99,PA
316,70531.59,89608.52,93595.78,0,41,PA
2,148185.50,,190650.00,0,0,PA
7,77392.60,,,3,0,PA
149,112010.17,173438.40,136419.97,0,8,PA
622,134741.53,165872.56,167252.07,0,85,PA
139,90033.09,98518.82,120666.41,0,4,PA
266,81960.35,108498.24,115244.08,6,5,PA
41,183720.29,248102.41,199533.79,0,1,RI
259,165927.25,187636.68,200026.45,6,11,RI
517,99615.98,155943.60,134032.30,0,39,SC
1040,88341.48,122001.94,118827.68,0,65,SC
877,60670.70,104954.06,99016.05,0,27,SC
267,86946.80,115848.98,110004.53,0,21,SC
1405,65340.75,97736.72,90505.43,0,105,SC
1528,64317.98,111854.21,99942.10,5,75,SC
1470,68322.91,99875.81,103677.16,17,68,SC
1431,87333.53,115087.21,105387.16,62,405,SD
1024,79969.61,110085.51,105708.74,5,117,TN
543,85317.48,125364.83,111710.42,0,30,TN
847,75370.02,100636.08,104239.12,0,33,TN
1053,73033.07,97023.02,97164.23,2,41,TN
125,80608.76,135801.74,111969.28,0,10,TN
1217,76904.59,105234.28,105981.68,69,74,TN
1106,63539.21,87257.15,91001.87,10,20,TN
1992,67928.56,96598.85,86243.35,4,109,TN
102,70262.98,149801.59,97588.44,0,10,TN
653,66607.85,89695.28,93617.41,3,31,TX
3,94323.24,129200.00,76884.87,0,0,TX
25,91101.03,119607.63,107963.94,0,10,TX
1056,65732.86,89435.78,92957.88,0,174,TX
1097,74078.17,103517.12,104584.45,0,110,TX
319,81589.66,119328.54,109614.17,0,54,TX
617,60088.70,102176.38,91601.48,0,37,TX
22,131634.02,156333.95,131933.85,0,0,TX
369,83108.95,95958.48,109735.29,0,38,TX
505,51883.95,73050.33,77565.85,0,14,TX
219,76989.85,114139.99,106292.27,0,51,TX
479,59909.11,86571.24,88924.12,1,26,TX
248,80536.15,106007.59,105109.80,0,4,TX
1720,66097.26,97946.23,88959.91,0,159,TX
275,70311.12,82377.75,85607.74,48,103,TX
521,61780.81,85770.05,102644.28,0,44,TX
3,71154.71,,148959.00,0,0,TX
405,45761.68,81486.47,70596.35,0,14,TX
6,122992.88,,128018.00,0,0,TX
361,90132.66,116027.53,121774.80,0,23,TX
68,76568.55,141935.43,104856.39,0,1,TX
2486,71734.31,84676.29,86511.98,289,1229,TX
1,44495.93,,,0,0,TX
300,70725.12,112264.33,99518.30,0,20,TX
126,88424.95,122128.41,117426.96,0,36,TX
440,71355.40,123768.60,97810.68,0,61,TX
556,58987.00,91246.59,86845.14,14,28,TX
3,63164.97,,,0,0,TX
6,39156.80,,29185.16,0,0,TX
310,83287.13,117736.46,104499.12,0,49,TX
11,123404.28,,139843.94,0,0,TX
1818,57464.32,76585.28,78324.63,32,345,TX
225,105383.09,122570.23,130096.82,0,52,TX
331,62184.03,90921.34,87571.86,0,12,TX
713,151701.66,189342.84,165008.81,353,137,UT
953,133955.87,164370.08,151352.54,130,96,UT
653,158422.43,188826.85,172097.55,301,123,UT
179,156099.12,180791.54,175888.81,50,24,UT
1561,103478.07,135369.87,133184.44,6,420,VT
395,102172.82,164767.30,146839.11,0,17,VA
110,71951.68,113041.09,94209.26,0,14,VA
71,106640.12,128577.01,153732.98,0,11,VA
571,78594.20,108625.01,133740.89,0,53,VA
1578,76733.20,118159.75,112945.31,25,236,VA
726,96971.54,133631.37,131524.64,0,100,VA
475,129094.70,163456.64,166653.43,0,16,VA
1613,66138.38,90271.05,91965.18,0,171,VA
105,97606.65,300000.00,168269.29,0,12,VA
427,158398.68,202333.81,188717.31,231,72,WA
445,171906.48,200196.99,189423.35,186,138,WA
722,165087,197329,184527,130,44,WA
450,101972,144723,129260,64,173,WA
288,106833,121938,132118,3,92,WA
757,147392,171320,170812,423,64,WA
22,157292,151142,163860,12,1,WA
219,146215,170023,186698,23,30,WA
223,131895,167262,166031,56,38,WA
1217,60489,85007,82939,0,126,WV
1292,84903,109749,109076,35,160,WV
1216,57297,73481,79973,3,220,WV
220,117569,130729,140920,101,63,WI
380,110643,119496,123952,19,155,WI
809,88928,100877,100806,1,377,WI
82,125233,139238,149440,4,28,WI
230,88877,97747,104065,4,100,WI
885,91315,114799,109983,7,232,WI
324,77763,91054,97918,4,93,WI
716,102979,164833,133417,1,89,WY
123,182381,222089,195006,0,0,GU
3,43240,,27413,0,0,MP
7766,58022,85765,80837,21,245,PR
111,95429,112406,115650,0,9,VI
2,57847,,41212,0,1,
3060,60602,69555,79030,104,122
