limit_bal,education,marriage,age,bill_amt,pay_amt,default
330000,post-grad,yes,46,1369317,49096,0
30000,secondary,no,22,123482,5460,0
240000,secondary,yes,34,77708,4627,0
150000,primary,no,27,140829,20000,0
210000,secondary,yes,33,43256,7046,0
50000,post-grad,yes,51,6932,6180,1
50000,primary,no,24,208330,8960,0
240000,primary,no,47,0,0,1
180000,secondary,no,28,3828,5580,0
50000,secondary,no,23,99487,13500,0
170000,secondary,no,29,67988,65846,0
20000,primary,no,29,26510,23641,0
50000,primary,no,28,48184,7183,0
170000,secondary,no,27,105012,3752,1
200000,primary,no,34,794273,87000,0
80000,secondary,yes,23,61950,4121,0
260000,primary,yes,60,21038,24469,0
140000,secondary,yes,32,411323,16267,0
80000,primary,no,25,256528,63000,0
350000,primary,no,41,4744,4536,0
280000,secondary,yes,56,971621,133200,0
30000,post-grad,no,26,70072,8700,0
140000,primary,yes,34,222980,35389,0
200000,primary,no,37,575407,22560,0
200000,post-grad,no,30,1018160,37788,0
210000,post-grad,yes,45,805451,65268,1
50000,post-grad,yes,57,79884,3800,0
30000,primary,no,41,162596,8150,0
50000,secondary,no,27,3396,2640,0
290000,post-grad,yes,47,3637,2376,0
250000,primary,yes,34,918942,39850,0
60000,secondary,yes,46,150304,10000,0
110000,primary,no,27,539339,21100,0
370000,primary,no,50,63070,61944,0
100000,secondary,yes,27,310089,55906,0
90000,secondary,yes,35,472951,24652,0
50000,secondary,no,22,171359,6795,0
270000,secondary,no,37,180209,19000,0
300000,primary,no,30,11780,11846,0
50000,secondary,no,22,53787,31149,0
50000,primary,no,24,-11569,0,1
360000,primary,no,29,77,77,0
130000,post-grad,yes,56,410575,14500,1
80000,primary,no,30,15624,6004,0
50000,secondary,no,30,220483,6500,0
20000,secondary,no,22,83914,6913,0
80000,secondary,yes,29,323559,8800,0
240000,primary,no,37,118261,84191,0
80000,post-grad,no,35,129487,29000,0
500000,primary,yes,47,579243,222550,0
60000,secondary,yes,24,222443,10837,1
20000,secondary,no,25,50904,5353,0
100000,secondary,yes,38,92351,5600,1
360000,primary,no,32,163546,199288,0
200000,post-grad,no,47,1182582,35984,1
130000,secondary,yes,34,57742,17397,0
20000,secondary,no,31,125792,1760,0
310000,primary,no,32,353740,40419,0
60000,primary,no,27,130018,6752,1
180000,primary,no,29,45854,22881,0
180000,primary,no,24,68239,38067,0
50000,secondary,yes,36,84870,26511,0
50000,primary,no,24,228759,8132,1
150000,secondary,yes,34,1616,1616,0
20000,primary,no,22,103511,24766,0
500000,primary,yes,34,6457,21861,0
30000,post-grad,no,22,117854,2903,1
180000,primary,yes,38,750,0,0
140000,primary,no,31,130872,38300,0
140000,primary,no,26,64236,49839,0
120000,secondary,no,26,688894,29152,0
360000,secondary,yes,48,1202779,37500,0
20000,post-grad,yes,43,98941,31538,0
100000,primary,yes,47,3033,5023,0
210000,secondary,yes,41,9657,6988,1
80000,secondary,no,24,391407,13838,1
330000,primary,yes,50,19462,10868,0
220000,primary,no,24,419979,103985,0
210000,primary,yes,38,2384,11877,1
40000,post-grad,yes,43,215945,8404,0
30000,secondary,no,39,103603,8493,0
470000,secondary,no,27,2002818,55690,0
30000,post-grad,yes,42,3510,2490,0
240000,secondary,yes,36,-5676,0,1
80000,secondary,no,36,470809,19500,0
110000,post-grad,no,31,453847,26954,0
310000,primary,no,38,6092,4668,0
360000,primary,yes,40,685565,32100,1
330000,post-grad,no,45,2005418,73223,0
300000,secondary,no,35,1431315,74582,0
320000,secondary,no,33,437268,41866,0
50000,post-grad,no,37,243968,34317,1
170000,primary,no,28,772102,48549,0
350000,post-grad,yes,44,8384,5119,0
20000,secondary,yes,37,108461,7564,0
50000,secondary,no,23,202501,9074,1
20000,post-grad,no,24,63912,5133,0
50000,primary,no,24,132930,6732,0
20000,secondary,no,23,94656,13200,1
50000,secondary,yes,26,197548,51938,0
190000,secondary,no,34,828058,34887,1
60000,secondary,yes,33,175794,5935,0
80000,primary,no,35,41852,36293,0
150000,secondary,no,27,399780,12625,0
210000,primary,no,31,18130,19989,0
240000,post-grad,yes,50,1313227,50997,1
140000,secondary,no,41,115854,13597,1
60000,primary,no,28,44436,2285,0
50000,primary,no,39,241244,12800,0
50000,secondary,no,27,169234,7950,0
180000,primary,no,32,14634,5818,0
30000,primary,no,40,613,595,0
20000,secondary,no,40,79889,5918,0
250000,secondary,yes,75,63417,11727,0
100000,secondary,no,27,196498,8260,0
330000,primary,no,25,256005,15230,0
50000,post-grad,yes,46,117871,7027,0
50000,secondary,no,26,240862,10062,0
30000,secondary,no,28,135160,8056,0
140000,secondary,no,26,631439,25041,1
160000,primary,no,28,337391,132311,0
400000,secondary,no,29,34030,14825,0
50000,secondary,yes,25,173552,6842,0
140000,secondary,yes,48,27095,27501,0
160000,secondary,yes,33,82207,68661,0
100000,post-grad,yes,43,62170,0,0
220000,primary,yes,48,1129440,42020,1
510000,primary,no,29,513211,160470,0
50000,secondary,no,29,202201,16512,0
160000,primary,yes,38,63277,44142,0
230000,primary,no,37,53735,51952,0
80000,primary,no,37,35054,28957,0
150000,secondary,yes,25,7104,1264,0
10000,post-grad,no,23,52136,3932,0
130000,post-grad,no,49,357781,9986,1
40000,primary,no,48,207975,9200,0
50000,secondary,no,27,73717,6631,1
100000,post-grad,no,32,180209,9686,0
120000,primary,yes,34,4414,1800,0
260000,primary,no,58,0,0,1
200000,secondary,no,33,80871,11522,0
360000,secondary,no,28,0,0,1
70000,secondary,no,36,265753,28247,0
460000,primary,yes,40,28039,27927,1
50000,primary,no,26,2736,1896,0
50000,post-grad,yes,33,211791,7004,0
250000,secondary,yes,31,604011,26900,0
30000,primary,no,27,6448,3164,0
270000,secondary,yes,44,486594,144214,0
180000,post-grad,no,30,760211,27192,0
100000,primary,no,28,323182,20198,0
230000,post-grad,yes,32,667517,29000,0
210000,primary,yes,46,211039,120470,0
210000,primary,no,38,358970,13804,0
440000,secondary,yes,46,828179,29746,0
100000,secondary,no,25,403638,13210,1
240000,secondary,yes,46,56097,6295,0
280000,primary,no,33,-336259,347739,1
50000,secondary,no,22,0,0,1
30000,secondary,yes,43,12972,2000,0
10000,secondary,no,27,56848,5470,1
130000,primary,no,29,0,1500,0
200000,primary,no,31,978958,36425,0
120000,secondary,yes,29,7765,8715,0
210000,secondary,yes,36,858448,32709,0
280000,primary,yes,36,273640,11718,0
300000,primary,no,34,45400,32799,1
100000,secondary,no,37,462851,15303,0
440000,primary,no,36,0,162000,0
50000,post-grad,yes,40,154301,7606,0
20000,primary,no,25,98447,11500,1
200000,primary,no,27,18236,12927,0
110000,secondary,no,26,12860,12124,0
500000,secondary,yes,36,47529,37052,0
300000,secondary,yes,27,5215,5215,0
30000,post-grad,yes,55,72863,8900,1
60000,primary,no,27,65912,47111,0
400000,secondary,yes,38,21153,19153,0
180000,secondary,yes,34,827666,32000,0
20000,primary,no,40,79047,10600,0
200000,post-grad,yes,49,333047,16286,1
100000,primary,no,27,194503,4871,0
60000,secondary,no,23,171532,8013,1
110000,secondary,no,36,303817,13500,0
260000,post-grad,yes,53,2025,2484,0
50000,post-grad,yes,46,213516,7372,0
180000,secondary,no,29,-12,0,0
110000,secondary,no,29,311346,10354,1
340000,primary,no,27,923137,90147,0
50000,secondary,no,24,31650,11019,0
230000,secondary,yes,28,55327,11750,1
360000,secondary,no,32,575409,57000,0
210000,secondary,no,43,160699,52013,0
220000,secondary,yes,41,3375,1925,1
60000,secondary,yes,34,170082,10111,1
340000,secondary,yes,55,137566,164386,0
150000,primary,yes,40,624055,25700,0
200000,secondary,yes,37,47390,51400,1
130000,secondary,no,40,66514,7200,1
60000,primary,no,28,96266,30696,0
400000,secondary,yes,43,79988,79988,0
20000,primary,no,27,116747,5503,0
190000,primary,no,28,912875,36836,0
260000,primary,no,30,953100,44000,0
140000,secondary,no,31,390,0,0
50000,secondary,yes,31,234080,10607,1
120000,primary,no,34,16986,20204,0
240000,secondary,no,30,368,2159,0
50000,secondary,no,36,18847,3390,0
200000,primary,no,29,76669,31055,0
180000,primary,yes,39,920802,284903,0
180000,primary,no,26,734847,26710,0
160000,primary,no,29,9832,24500,0
100000,secondary,no,26,19223,13974,0
50000,secondary,no,29,273459,13000,1
140000,secondary,no,31,839924,34500,0
30000,secondary,no,26,117890,6064,1
90000,primary,no,26,86582,31842,0
200000,primary,yes,36,-26795,171133,0
380000,primary,no,30,0,0,1
80000,secondary,no,43,303152,12045,0
50000,post-grad,yes,58,109216,6673,0
180000,secondary,yes,45,177278,8781,1
240000,secondary,no,26,724940,27398,0
380000,secondary,no,34,1082561,64410,0
110000,other,no,24,487656,19300,0
260000,primary,yes,34,137687,121666,0
500000,secondary,no,23,2926653,75500,1
320000,secondary,no,30,436318,15669,0
50000,secondary,no,32,248859,5485,0
110000,primary,yes,40,4498,2564,1
230000,primary,no,35,3314,3073,0
330000,secondary,yes,56,15640,16061,0
50000,secondary,yes,61,218302,10251,0
10000,secondary,no,24,14752,1650,0
300000,primary,yes,40,0,0,0
20000,secondary,yes,32,93331,3190,1
180000,secondary,yes,36,83538,0,1
160000,primary,no,30,61480,119926,0
90000,primary,no,34,253776,20640,0
30000,post-grad,no,54,141140,12000,0
180000,primary,yes,46,836186,189463,0
30000,post-grad,yes,58,126272,8016,0
30000,secondary,yes,43,132258,7488,0
140000,primary,no,28,45024,35946,0
210000,primary,no,30,327465,25500,0
50000,secondary,no,31,83951,16327,1
130000,secondary,no,29,472379,20500,0
50000,secondary,yes,37,16397,3500,1
140000,post-grad,yes,36,538393,47700,0
170000,secondary,no,28,29372,3899,1
80000,secondary,no,25,107251,18103,0
410000,other,yes,42,1741454,63800,0
80000,primary,no,29,80000,80000,0
80000,post-grad,yes,73,416184,23430,1
150000,secondary,yes,43,944099,36834,0
260000,primary,yes,30,2586,131815,1
350000,primary,yes,38,0,0,0
280000,secondary,yes,39,174954,48684,1
310000,secondary,yes,44,503434,20078,0
140000,secondary,no,29,118369,16500,0
360000,primary,yes,51,63000,25000,0
140000,primary,no,27,858345,43600,0
100000,primary,no,38,240783,5141,0
50000,secondary,no,22,1480,1480,0
210000,secondary,yes,30,567259,23202,0
120000,secondary,no,25,703798,21679,0
240000,primary,no,29,666907,204634,0
60000,post-grad,no,42,185007,9885,0
150000,primary,no,41,7098,5291,1
30000,secondary,yes,48,161543,8942,0
160000,primary,no,29,974815,30512,1
200000,primary,yes,52,92108,92473,0
120000,secondary,yes,25,47869,6000,0
500000,primary,yes,37,2466458,64709,0
320000,primary,no,27,365115,67601,0
280000,primary,no,31,1043732,42823,0
60000,primary,no,23,185629,8209,1
200000,primary,yes,38,257,517,0
230000,primary,yes,32,11600,11611,0
230000,secondary,no,27,64332,7441,1
480000,post-grad,yes,41,292489,279713,0
50000,post-grad,yes,35,27500,5640,0
200000,primary,no,31,23286,19872,0
50000,primary,no,30,104694,7800,0
50000,secondary,yes,48,180417,15461,0
260000,primary,no,36,0,0,1
30000,primary,no,24,166661,8607,0
440000,primary,no,29,962256,42156,0
230000,secondary,no,38,17733,9709,0
200000,secondary,yes,38,613953,20500,1
490000,secondary,yes,30,1185021,43181,0
80000,secondary,yes,32,11262,0,0
20000,post-grad,no,49,79043,10123,1
170000,primary,no,31,1393,1393,1
70000,primary,no,27,293401,36641,0
210000,secondary,no,33,762633,24500,0
90000,secondary,no,25,465009,18601,0
390000,primary,no,27,1772871,62172,1
110000,primary,no,29,304292,13557,0
580000,primary,yes,36,994160,36784,0
360000,post-grad,yes,55,36696,25244,0
270000,secondary,yes,32,1359821,42000,1
60000,primary,no,27,14672,650,0
110000,post-grad,yes,37,367490,13600,0
50000,primary,yes,25,235192,8773,0
80000,primary,no,23,339098,49268,1
50000,secondary,no,23,28024,16630,0
100000,primary,no,32,531060,21237,0
30000,primary,no,26,4137,4137,0
200000,primary,no,27,730818,34070,0
240000,primary,no,44,1306045,51436,1
220000,secondary,no,34,160668,6300,0
160000,primary,no,28,601165,19300,0
180000,primary,yes,53,83747,32279,0
200000,other,yes,42,170347,12043,0
140000,post-grad,yes,30,461266,27121,0
380000,primary,yes,51,0,0,1
600000,primary,yes,53,2718542,91000,1
260000,secondary,no,37,935929,168022,0
200000,primary,no,26,162165,7394,0
80000,secondary,no,42,331586,61032,0
40000,secondary,no,39,124960,14049,0
130000,post-grad,no,39,439958,18000,0
50000,primary,no,32,99206,5000,0
230000,secondary,yes,41,48732,59373,0
70000,secondary,yes,48,156587,14807,1
180000,secondary,yes,38,838496,36029,0
80000,secondary,yes,36,28137,28667,0
290000,secondary,no,26,248603,115536,0
230000,primary,no,28,564897,144032,0
170000,post-grad,no,56,2141,2755,0
230000,primary,yes,59,1210604,42822,1
220000,primary,no,38,1188181,45147,1
230000,secondary,no,32,142857,5236,0
500000,secondary,yes,38,300881,99568,0
90000,primary,yes,41,19471,14731,0
390000,post-grad,no,35,1864430,67884,1
400000,secondary,no,41,1618141,51938,0
180000,secondary,yes,34,11563,11076,0
60000,post-grad,yes,38,192042,9500,0
120000,secondary,yes,32,19210,20172,0
60000,secondary,no,29,167658,6820,0
50000,primary,no,44,195918,7869,0
70000,secondary,yes,37,380598,14935,0
500000,primary,yes,38,2751,2301,0
200000,primary,no,31,0,0,0
250000,secondary,yes,40,274820,193164,0
140000,secondary,no,26,832487,39650,1
70000,secondary,no,28,169724,10806,0
90000,post-grad,yes,48,411870,14486,0
100000,secondary,yes,43,10198,9818,0
190000,secondary,yes,31,894199,29086,0
230000,primary,yes,42,52633,45768,0
320000,secondary,yes,39,556223,23059,0
220000,secondary,yes,36,4024,4024,1
260000,primary,yes,34,37990,29865,0
90000,secondary,no,32,573,157,0
30000,secondary,yes,43,144207,4610,0
260000,secondary,no,30,668040,22116,0
170000,secondary,no,28,46228,4308,0
80000,primary,yes,28,58976,3476,1
50000,primary,yes,41,2336,4250,0
200000,post-grad,no,47,1196650,43749,0
20000,secondary,no,23,123892,10465,0
250000,primary,yes,49,1819,1771,0
20000,primary,yes,38,114642,7939,0
30000,secondary,yes,38,138451,8200,0
90000,secondary,yes,35,162740,12500,0
230000,other,no,46,1249171,49500,0
130000,primary,yes,33,107017,5000,1
30000,other,yes,53,0,0,0
160000,primary,no,35,3200,2805,0
500000,secondary,no,43,761573,819093,0
180000,secondary,no,28,226042,10128,0
80000,secondary,yes,30,75825,4800,0
120000,primary,no,26,11330,10446,0
130000,secondary,yes,31,6514,5643,0
120000,secondary,no,35,1440,1440,1
360000,primary,no,28,132271,116088,0
50000,secondary,no,23,189259,8800,1
20000,secondary,no,23,103607,4938,0
100000,post-grad,yes,56,472054,99730,0
70000,post-grad,yes,32,415116,19970,0
50000,secondary,yes,47,108988,11797,0
10000,secondary,no,22,59270,4607,0
290000,primary,yes,34,624930,39000,0
30000,primary,yes,31,110402,7645,0
410000,secondary,no,27,237536,96874,0
360000,primary,no,28,424799,454830,1
140000,secondary,yes,42,501478,27167,1
210000,primary,no,32,427893,17600,0
220000,secondary,no,27,20097,171909,0
20000,secondary,no,27,116201,4500,0
620000,secondary,yes,45,979950,30700,1
360000,primary,no,26,4245,4298,0
20000,secondary,no,21,52614,36511,0
50000,secondary,no,23,129497,28536,0
50000,secondary,no,30,218334,6935,0
10000,secondary,no,46,36955,3766,1
100000,post-grad,yes,50,356645,17050,1
50000,primary,no,26,11223,9519,0
60000,secondary,no,25,17388,14013,0
440000,primary,no,35,1590980,55700,0
120000,secondary,yes,44,421362,14449,0
50000,primary,no,52,7741,1318,0
110000,secondary,yes,40,576533,23100,0
200000,primary,no,38,887,805,0
150000,primary,no,28,318,318,0
30000,secondary,yes,36,169630,4700,1
100000,primary,no,24,164636,51245,0
360000,primary,yes,34,58482,40069,0
390000,primary,no,31,284264,23000,0
220000,primary,yes,41,-525,0,1
160000,secondary,no,25,0,0,0
230000,primary,no,28,63456,25923,0
120000,primary,no,27,246395,27524,0
100000,post-grad,yes,52,37706,7500,1
190000,primary,no,41,72112,43854,1
50000,primary,yes,56,219191,9617,1
240000,primary,yes,42,6370,6370,0
40000,secondary,no,24,223518,10159,0
630000,secondary,yes,47,118530,55661,0
160000,primary,yes,33,13149,9074,0
110000,secondary,no,32,463018,29300,0
20000,secondary,no,29,35627,2055,0
210000,post-grad,yes,53,362544,14975,0
270000,primary,no,34,57523,43455,0
360000,secondary,no,52,4687,4973,0
60000,secondary,yes,42,9651,9750,0
360000,secondary,no,38,477607,136709,0
390000,primary,no,45,9583,9874,0
250000,post-grad,no,35,37633,43951,0
90000,primary,no,24,107492,12884,1
360000,primary,no,28,37909,48124,0
50000,post-grad,no,26,155313,6685,0
270000,primary,yes,40,24457,1000,0
200000,primary,no,29,93578,38096,0
50000,secondary,no,23,194735,9496,0
350000,primary,no,33,25844,15084,0
160000,secondary,no,60,14048,10431,1
80000,post-grad,yes,49,26122,30745,0
290000,primary,yes,53,1622960,59114,1
270000,primary,no,28,143620,77166,0
80000,primary,no,31,55230,30128,0
50000,secondary,no,36,38925,5400,0
30000,secondary,yes,35,24623,16882,0
30000,secondary,no,28,780,780,1
90000,secondary,no,33,195738,46487,0
160000,primary,no,26,67573,72407,0
80000,post-grad,no,53,410262,15881,0
50000,secondary,no,42,245027,7200,0
20000,primary,no,25,99055,5900,0
220000,primary,yes,43,0,0,1
210000,post-grad,no,25,67409,44925,1
130000,secondary,no,29,535030,18011,0
260000,secondary,yes,31,194136,159300,0
230000,primary,yes,30,254314,89840,0
160000,primary,no,34,512342,20862,0
50000,primary,yes,35,77061,7220,0
80000,secondary,yes,32,261480,18017,0
110000,post-grad,no,46,356592,14882,0
200000,primary,yes,43,826110,29861,0
360000,secondary,no,29,1542987,46711,0
210000,post-grad,no,31,0,0,0
80000,secondary,no,24,389365,18249,0
300000,secondary,yes,36,79766,88921,1
310000,secondary,yes,43,148678,6310,0
30000,post-grad,yes,59,3270,2880,1
170000,primary,yes,53,103181,4616,0
140000,secondary,no,28,172568,9001,0
180000,secondary,no,31,0,1576,0
50000,primary,no,34,142053,5930,0
50000,secondary,yes,36,34423,3001,0
110000,primary,no,24,235819,17000,0
450000,post-grad,yes,36,31012,30254,0
200000,secondary,yes,34,2511,2511,0
220000,primary,no,43,154835,99542,0
360000,primary,no,29,5930,2650,1
50000,secondary,yes,37,278195,11285,0
40000,secondary,no,23,175916,6117,0
190000,secondary,yes,37,717765,29000,0
150000,primary,no,33,119769,13237,0
200000,primary,yes,37,595,2965,0
270000,secondary,yes,56,683049,26353,0
60000,primary,no,25,269005,11318,0
200000,secondary,yes,39,443849,16680,0
150000,secondary,yes,39,204705,15500,0
180000,secondary,no,28,2170,3030,0
90000,primary,no,27,7624,0,0
360000,secondary,yes,37,707,4977,0
90000,primary,no,24,491,0,0
20000,secondary,no,24,89220,5646,0
70000,primary,yes,46,318796,13340,0
230000,primary,yes,39,3960,3960,0
30000,post-grad,yes,48,175863,7283,0
200000,post-grad,no,45,35587,36184,0
100000,post-grad,no,49,1440,0,0
50000,secondary,no,23,181591,12000,0
20000,post-grad,yes,25,45038,3459,0
210000,secondary,yes,47,0,0,0
110000,post-grad,yes,56,193115,17177,0
20000,post-grad,yes,44,1006,456,0
50000,post-grad,yes,49,36792,6757,0
50000,secondary,yes,41,121995,5330,0
400000,primary,no,40,337631,211702,0
170000,secondary,no,31,334688,17000,0
280000,secondary,yes,42,882943,35867,0
130000,post-grad,yes,28,200599,3500,0
210000,secondary,no,32,336057,29500,0
370000,secondary,no,28,817955,58000,0
30000,secondary,yes,31,127602,6942,0
150000,post-grad,no,39,506730,15180,0
60000,post-grad,yes,31,70689,1027,1
80000,secondary,no,24,392216,15686,0
280000,secondary,yes,44,1150758,45000,1
20000,secondary,no,46,118578,0,0
270000,primary,no,32,1000,1400,0
240000,secondary,no,26,59161,38813,0
20000,primary,no,22,115711,6901,0
450000,primary,yes,42,41600,42200,1
10000,secondary,no,33,49507,8145,0
280000,secondary,yes,39,24054,25643,1
290000,post-grad,no,27,55487,6300,0
190000,primary,no,28,273617,13500,1
80000,primary,no,23,127112,11076,0
280000,secondary,no,28,7540,6230,0
160000,primary,yes,33,68180,55935,0
90000,secondary,yes,40,90025,5358,1
140000,primary,no,37,41544,40510,0
50000,primary,no,22,29567,4180,0
40000,secondary,yes,32,167564,9810,0
130000,post-grad,yes,43,652165,25021,0
70000,post-grad,yes,27,378784,14964,0
30000,secondary,yes,35,155444,8281,0
100000,post-grad,yes,35,599839,24800,0
20000,primary,yes,30,43329,3500,1
30000,secondary,no,34,275375,76230,0
20000,secondary,yes,34,91072,6789,1
100000,primary,no,28,500780,19423,1
30000,secondary,no,25,13800,0,1
320000,primary,yes,41,611655,24120,0
90000,post-grad,no,42,249902,6700,1
190000,secondary,no,40,959287,48600,1
200000,primary,no,28,800524,111129,0
300000,secondary,no,31,22757,19514,0
30000,primary,no,56,74142,36403,0
110000,secondary,no,45,133460,11315,0
230000,primary,no,29,1024,1024,0
230000,primary,yes,35,15873,2250,0
310000,secondary,no,28,497918,33000,0
320000,primary,yes,40,1423739,70000,0
360000,primary,yes,47,362529,200250,0
20000,post-grad,yes,41,4049,3532,1
170000,secondary,no,27,991237,52700,0
140000,primary,yes,40,778849,28766,0
80000,secondary,no,32,279502,9611,0
150000,secondary,no,35,240075,106469,0
170000,secondary,no,27,1950,0,0
200000,secondary,yes,29,814865,30193,1
70000,primary,no,30,350836,15050,0
320000,secondary,yes,37,67096,28706,0
150000,primary,no,29,0,0,0
50000,primary,yes,34,89632,12674,0
90000,secondary,no,34,16292,0,0
280000,primary,yes,41,174504,151539,0
300000,primary,no,31,184067,5263,0
400000,secondary,no,40,9759,10144,0
200000,primary,yes,27,21962,17486,0
10000,post-grad,no,22,26146,3036,1
50000,secondary,no,30,231633,5600,1
30000,secondary,no,22,150950,9300,0
50000,primary,no,26,106040,8100,1
50000,secondary,yes,38,329171,14200,0
30000,post-grad,yes,46,78343,4470,0
20000,secondary,no,24,21139,2338,0
20000,secondary,no,49,99503,3785,0
50000,primary,no,49,109793,8391,0
30000,secondary,yes,42,199327,9164,0
360000,primary,yes,30,39679,6147,0
170000,secondary,yes,42,6440,6440,0
400000,primary,no,31,5048,4877,0
50000,secondary,yes,49,193722,9822,0
160000,secondary,no,27,498263,22000,0
70000,secondary,yes,33,182163,7083,1
150000,primary,yes,35,0,0,0
80000,secondary,no,48,192649,32649,0
30000,secondary,no,22,162856,11952,0
10000,secondary,no,22,49081,7500,1
180000,primary,no,27,16670,20003,0
320000,primary,yes,47,36186,27532,0
80000,secondary,no,34,172717,8838,0
10000,secondary,yes,45,54824,4300,1
360000,secondary,no,39,52108,39686,0
450000,secondary,no,33,1506,5597,0
330000,secondary,no,29,449880,157274,0
60000,primary,no,29,4193,2082,1
50000,post-grad,no,26,62292,5199,0
200000,secondary,yes,38,963422,35917,0
