date,INTC
11/3/17,46.34
11/2/17,47.1
11/1/17,46.71
10/31/17,45.49
10/30/17,44.37
10/27/17,44.4
10/26/17,41.35
10/25/17,40.78
10/24/17,40.95
10/23/17,40.83
10/20/17,40.43
10/19/17,40.09
10/18/17,40.25
10/17/17,39.79
10/16/17,39.76
10/13/17,39.67
10/12/17,39.19
10/11/17,39.3
10/10/17,39.65
10/9/17,39.86
10/6/17,39.63
10/5/17,39.53
10/4/17,39.34
10/3/17,39.38
10/2/17,39.04
9/29/17,38.08
9/28/17,37.83
9/27/17,37.54
9/26/17,37.47
9/25/17,37.16
9/22/17,37.18
9/21/17,37.2
9/20/17,37.07
9/19/17,37.23
9/18/17,37
9/15/17,37
9/14/17,36.48
9/13/17,36.33
9/12/17,36.09
9/11/17,35.77
9/8/17,35.19
9/7/17,35.54
9/6/17,35.76
9/5/17,35.02
9/1/17,35.09
8/31/17,35.07
8/30/17,34.89
8/29/17,34.73
8/28/17,34.65
8/25/17,34.67
8/24/17,34.71
8/23/17,34.66
8/22/17,34.65
8/21/17,34.92
8/18/17,35.01
8/17/17,35.17
8/16/17,35.81
8/15/17,36
8/14/17,36.34
8/11/17,35.87
8/10/17,36.14
8/9/17,36.59
8/8/17,36.41
8/7/17,36.43
8/4/17,36.3
8/3/17,36.49
8/2/17,36.64
8/1/17,36.35
7/31/17,35.47
7/28/17,35.31
7/27/17,34.97
7/26/17,34.75
7/25/17,34.67
7/24/17,34.5
7/21/17,34.73
7/20/17,34.75
7/19/17,34.56
7/18/17,34.53
7/17/17,34.47
7/14/17,34.68
7/13/17,34.24
7/12/17,34.25
7/11/17,33.92
7/10/17,33.65
7/7/17,33.88
7/6/17,33.63
7/5/17,34.34
7/3/17,33.46
6/30/17,33.74
6/29/17,33.54
6/28/17,34.2
6/27/17,33.65
6/26/17,34.07
6/23/17,34.19
6/22/17,34.36
6/21/17,34.58
6/20/17,34.86
6/19/17,35.51
6/16/17,35.21
6/15/17,35.31
6/14/17,35.53
6/13/17,35.88
6/12/17,35.73
6/9/17,35.71
6/8/17,36.48
6/7/17,36.26
6/6/17,36.13
6/5/17,36.34
6/2/17,36.32
6/1/17,36.12
5/31/17,36.11
5/30/17,36.18
5/26/17,36.26
5/25/17,36.26
5/24/17,36.12
5/23/17,35.86
5/22/17,35.77
5/19/17,35.4
5/18/17,35.22
5/17/17,35.04
5/16/17,35.82
5/15/17,35.63
5/12/17,35.53
5/11/17,35.69
5/10/17,36.01
5/9/17,36.37
5/8/17,36.54
5/5/17,36.82
5/4/17,36.85
5/3/17,36.98
5/2/17,36.97
5/1/17,36.31
4/28/17,36.15
4/27/17,37.43
4/26/17,36.93
4/25/17,36.87
4/24/17,36.75
4/21/17,36.32
4/20/17,36.18
4/19/17,35.91
4/18/17,35.765
4/17/17,35.48
4/13/17,35.25
4/12/17,35.63
4/11/17,35.74
4/10/17,35.8
4/7/17,36.03
4/6/17,36.03
4/5/17,36.22
4/4/17,36.28
4/3/17,36.16
3/31/17,36.07
3/30/17,35.75
3/29/17,35.57
3/28/17,35.6
3/27/17,35.39
3/24/17,35.16
3/23/17,35.27
3/22/17,35.37
3/21/17,35.04
3/20/17,35.43
3/17/17,35.27
3/16/17,35.14
3/15/17,35.1
3/14/17,35.18
3/13/17,35.16
3/10/17,35.91
3/9/17,35.82
3/8/17,35.62
3/7/17,35.8
3/6/17,35.57
3/3/17,35.9
3/2/17,35.91
3/1/17,35.93
2/28/17,36.2
2/27/17,36.51
2/24/17,36.53
2/23/17,36.18
2/22/17,36.07
2/21/17,36.52
2/17/17,36.48
2/16/17,36.41
2/15/17,36.05
2/14/17,35.93
2/13/17,35.8
2/10/17,35.34
2/9/17,35.46
2/8/17,36.38
2/7/17,36.35
2/6/17,36.27
2/3/17,36.52
2/2/17,36.68
2/1/17,36.52
1/31/17,36.82
1/30/17,37.42
1/27/17,37.98
1/26/17,37.56
1/25/17,37.8
1/24/17,37.62
1/23/17,36.77
1/20/17,36.94
1/19/17,36.57
1/18/17,36.76
1/17/17,36.8
1/13/17,36.79
1/12/17,36.71
1/11/17,36.95
1/10/17,36.54
1/9/17,36.61
1/6/17,36.48
1/5/17,36.35
1/4/17,36.41
1/3/17,36.6
12/30/16,36.27
12/29/16,36.66
12/28/16,36.63
12/27/16,37.07
12/23/16,36.97
12/22/16,36.93
12/21/16,36.98
12/20/16,37.21
12/19/16,36.89
12/16/16,36.31
12/15/16,36.79
12/14/16,36.55
12/13/16,36.8
12/12/16,35.97
12/9/16,35.76
12/8/16,35.7
12/7/16,35.5
12/6/16,34.72
12/5/16,34.39
12/2/16,34.16
12/1/16,33.76
11/30/16,34.7
11/29/16,35.31
11/28/16,35.51
11/25/16,35.44
11/23/16,35.2
11/22/16,35.48
11/21/16,34.98
11/18/16,34.95
11/17/16,35.02
11/16/16,34.84
11/15/16,34.91
11/14/16,34.48
11/11/16,34.61
11/10/16,34.5
11/9/16,34.75
11/8/16,34.74
11/7/16,34.69
11/4/16,33.61
11/3/16,33.93
11/2/16,34.6
11/1/16,34.52
10/31/16,34.87
10/28/16,34.74
10/27/16,34.81
10/26/16,34.92
10/25/16,35.1
10/24/16,35.26
10/21/16,35.15
10/20/16,35.43
10/19/16,35.51
10/18/16,37.75
10/17/16,37.29
10/14/16,37.45
10/13/16,36.97
10/12/16,37.13
10/11/16,37.27
10/10/16,38.02
10/7/16,38.1
10/6/16,38.07
10/5/16,37.99
10/4/16,37.54
10/3/16,37.66
9/30/16,37.75
9/29/16,37.32
9/28/16,37.44
9/27/16,37.18
9/26/16,36.65
9/23/16,37.19
9/22/16,37.55
9/21/16,37.45
9/20/16,37.14
9/19/16,37.16
9/16/16,37.67
9/15/16,36.56
9/14/16,35.62
9/13/16,35.61
9/12/16,36.08
9/9/16,35.44
9/8/16,36.44
9/7/16,36.46
9/6/16,36.57
9/2/16,36.08
9/1/16,36.02
8/31/16,35.89
8/30/16,35.7
8/29/16,35.55
8/26/16,35.26
8/25/16,35.09
8/24/16,35.15
8/23/16,35.4
8/22/16,35.36
8/19/16,35.24
8/18/16,34.97
8/17/16,35.02
8/16/16,35.21
8/15/16,34.91
8/12/16,34.57
8/11/16,34.68
8/10/16,34.53
8/9/16,34.92
8/8/16,35.04
8/5/16,34.98
8/4/16,34.58
8/3/16,34.25
8/2/16,34.56
8/1/16,34.85
7/29/16,34.86
7/28/16,34.77
7/27/16,34.83
7/26/16,35.09
7/25/16,34.69
7/22/16,34.66
7/21/16,34.27
7/20/16,35.69
7/19/16,35.15
7/18/16,35.05
7/15/16,35.07
7/14/16,35.2
7/13/16,35.01
7/12/16,34.94
7/11/16,34.38
7/8/16,34
7/7/16,33.2
7/6/16,32.97
7/5/16,32.68
7/1/16,32.75
6/30/16,32.8
6/29/16,31.93
6/28/16,31.19
6/27/16,30.72
6/24/16,31.55
6/23/16,32.99
6/22/16,32.29
6/21/16,32.32
6/20/16,32.17
6/17/16,31.76
6/16/16,31.69
6/15/16,31.61
6/14/16,32.14
6/13/16,32.17
6/10/16,32.04
6/9/16,31.94
6/8/16,31.89
6/7/16,31.88
6/6/16,31.68
6/3/16,31.62
6/2/16,31.76
6/1/16,31.66
5/31/16,31.59
5/27/16,31.57
5/26/16,31.49
5/25/16,31.39
5/24/16,31.06
5/23/16,30.23
5/20/16,30.15
5/19/16,29.63
5/18/16,29.99
5/17/16,29.98
5/16/16,30.39
5/13/16,29.91
5/12/16,29.76
5/11/16,30.06
5/10/16,30.14
5/9/16,29.8
5/6/16,30.04
5/5/16,29.9
5/4/16,29.85
5/3/16,30.36
5/2/16,30.61
4/29/16,30.28
4/28/16,31.11
4/27/16,31.75
4/26/16,31.4
4/25/16,31.39
4/22/16,31.64
4/21/16,31.97
4/20/16,32
4/19/16,31.6
4/18/16,31.65
4/15/16,31.46
4/14/16,31.8
4/13/16,32.13
4/12/16,31.86
4/11/16,31.67
4/8/16,31.63
4/7/16,31.55
4/6/16,32.08
4/5/16,31.9
4/4/16,32
4/1/16,32.45
3/31/16,32.35
3/30/16,32.71
3/29/16,32.38
3/28/16,31.9
3/24/16,31.88
3/23/16,32
3/22/16,32.32
3/21/16,32.34
3/18/16,32.68
3/17/16,31.98
3/16/16,31.69
3/15/16,31.65
3/14/16,31.43
3/11/16,31.76
3/10/16,31.25
3/9/16,30.865
3/8/16,30.56
3/7/16,30.94
3/4/16,30.63
3/3/16,30.58
3/2/16,30.54
3/1/16,30.37
2/29/16,29.59
2/26/16,29.8
2/25/16,29.62
2/24/16,29.19
2/23/16,28.8
2/22/16,29.35
2/19/16,28.71
2/18/16,29.42
2/17/16,29.47
2/16/16,28.78
2/12/16,28.64
2/11/16,28.22
2/10/16,28.23
2/9/16,28.81
2/8/16,28.82
2/5/16,29.04
2/4/16,29.77
2/3/16,29.34
2/2/16,29.8
2/1/16,30.82
1/29/16,31.02
1/28/16,29.97
1/27/16,29.81
1/26/16,29.94
1/25/16,29.6
1/22/16,29.925
1/21/16,29.66
1/20/16,29.59
1/19/16,29.8
1/15/16,29.76
1/14/16,32.74
1/13/16,31.91
1/12/16,32.68
1/11/16,32.06
1/8/16,31.51
1/7/16,31.84
1/6/16,33.08
1/5/16,33.83
1/4/16,33.99
12/31/15,34.45
12/30/15,34.99
12/29/15,35.44
12/28/15,34.93
12/24/15,34.98
12/23/15,35
12/22/15,34.73
12/21/15,34.24
12/18/15,33.865
12/17/15,34.91
12/16/15,35.3
12/15/15,35.18
12/14/15,34.47
12/11/15,34.27
12/10/15,34.77
12/9/15,34.81
12/8/15,34.75
12/7/15,34.985
12/4/15,34.935
12/3/15,34.04
12/2/15,34.83
12/1/15,35.09
11/30/15,34.77
11/27/15,34.46
11/25/15,34.45
11/24/15,34.36
11/23/15,34.48
11/20/15,34.66
11/19/15,34.3
11/18/15,33.16
11/17/15,32.64
11/16/15,32.1
11/13/15,32.11
11/12/15,32.4
11/11/15,32.86
11/10/15,33.21
11/9/15,33.35
11/6/15,33.84
11/5/15,34
11/4/15,34.15
11/3/15,34.31
11/2/15,34.11
10/30/15,33.86
10/29/15,34.03
10/28/15,34.71
10/27/15,34.47
10/26/15,34.59
10/23/15,34.9
10/22/15,34.4
10/21/15,33.37
10/20/15,33.44
10/19/15,33.59
10/16/15,33.04
10/15/15,32.75
10/14/15,32.8
10/13/15,32.04
10/12/15,32.21
10/9/15,32.14
10/8/15,32.52
10/7/15,32.315
10/6/15,31.74
10/5/15,31.21
10/2/15,30.51
10/1/15,30
9/30/15,30.14
9/29/15,29.24
9/28/15,28.76
9/25/15,28.81
9/24/15,28.48
9/23/15,28.74
9/22/15,28.67
9/21/15,29.16
9/18/15,29.02
9/17/15,29.71
9/16/15,29.77
9/15/15,29.73
9/14/15,29.39
9/11/15,29.47
9/10/15,29.27
9/9/15,29.24
9/8/15,29.5
9/4/15,28.52
9/3/15,29.08
9/2/15,28.6
9/1/15,27.82
8/31/15,28.54
8/28/15,28.42
8/27/15,27.72
8/26/15,27.3
8/25/15,25.87
8/24/15,26.25
8/21/15,26.56
8/20/15,27.53
8/19/15,28.36
8/18/15,28.91
8/17/15,29.08
8/14/15,29.02
8/13/15,28.87
8/12/15,29.46
8/11/15,28.97
8/10/15,29.64
8/7/15,28.88
8/6/15,29.01
8/5/15,29.12
8/4/15,29.13
8/3/15,29.05
7/31/15,28.95
7/30/15,28.91
7/29/15,29.01
7/28/15,28.96
7/27/15,28.35
7/24/15,28.06
7/23/15,28.595
7/22/15,28.605
7/21/15,28.72
7/20/15,29.1
7/17/15,29.47
7/16/15,29.9
7/15/15,29.69
7/14/15,29.65
7/13/15,29.73
7/10/15,29.17
7/9/15,28.93
7/8/15,29.5
7/7/15,29.9
7/6/15,30.04
7/2/15,30.555
7/1/15,30.18
6/30/15,30.415
6/29/15,30.39
6/26/15,31.02
6/25/15,31.99
6/24/15,31.91
6/23/15,32.085
6/22/15,32.26
6/19/15,32.07
6/18/15,32.38
6/17/15,31.95
6/16/15,31.635
6/15/15,31.39
6/12/15,31.32
6/11/15,31.85
6/10/15,31.82
6/9/15,31.25
6/8/15,31.3
6/5/15,31.84
6/4/15,32.31
6/3/15,32.73
6/2/15,33.27
6/1/15,33.905
5/29/15,34.46
5/28/15,34.01
5/27/15,33.71
5/26/15,33.105
5/22/15,33.45
5/21/15,33.55
5/20/15,33.37
5/19/15,33.15
5/18/15,33.41
5/15/15,32.99
5/14/15,32.97
5/13/15,32.64
5/12/15,32.25
5/11/15,32.69
5/8/15,32.8
5/7/15,32.245
5/6/15,32.22
5/5/15,32.64
5/4/15,33.43
5/1/15,33.42
4/30/15,32.55
4/29/15,32.885
4/28/15,33.02
4/27/15,32.5
4/24/15,32.08
4/23/15,32.35
4/22/15,32.7
4/21/15,32.43
4/20/15,32.73
4/17/15,32.47
4/16/15,32.87
4/15/15,32.83
4/14/15,31.49
4/13/15,31.73
4/10/15,31.93
4/9/15,31.24
4/8/15,31.31
4/7/15,31.26
4/6/15,31.04
4/2/15,30.81
4/1/15,30.81
3/31/15,31.27
3/30/15,31.46
3/27/15,32
3/26/15,30.08
3/25/15,29.89
3/24/15,30.79
3/23/15,31.2
3/20/15,31.31
3/19/15,30.74
3/18/15,30.89
3/17/15,30.59
3/16/15,30.83
3/13/15,30.93
3/12/15,30.8
3/11/15,32.33
3/10/15,31.7
3/9/15,32.72
3/6/15,33.19
3/5/15,33.73
3/4/15,34.12
3/3/15,34.095
3/2/15,34.06
2/27/15,33.25
2/26/15,33.65
2/25/15,33.945
2/24/15,34.41
2/23/15,33.76
2/20/15,34.41
2/19/15,34.21
2/18/15,34.265
2/17/15,34.735
2/13/15,34.36
2/12/15,34.125
2/11/15,33.55
2/10/15,33.7
2/9/15,32.93
2/6/15,33.295
2/5/15,33.94
2/4/15,33.6
2/3/15,33.7
2/2/15,33.65
1/30/15,33.04
1/29/15,34.21
1/28/15,33.775
1/27/15,34.185
1/26/15,35.805
1/23/15,36.445
1/22/15,36.91
1/21/15,36.48
1/20/15,36.09
1/16/15,36.45
1/15/15,36.19
1/14/15,36.35
1/13/15,36.5
1/12/15,36.6
1/9/15,36.76
1/8/15,36.69
1/7/15,36.02
1/6/15,35.28
1/5/15,35.95
1/2/15,36.36
12/31/14,36.29
12/30/14,36.76
12/29/14,37.18
12/26/14,37.55
12/24/14,37.44
12/23/14,37.43
12/22/14,37.21
12/19/14,36.37
12/18/14,37.02
12/17/14,36.24
12/16/14,35.56
12/15/14,35.92
12/12/14,36.225
12/11/14,36.7
12/10/14,36.42
12/9/14,36.89
12/8/14,37.2
12/5/14,37.67
12/4/14,37.46
12/3/14,37.43
12/2/14,37.6
12/1/14,37.17
11/28/14,37.25
11/26/14,36.9
11/25/14,36.32
11/24/14,36.25
11/21/14,35.59
11/20/14,35.95
11/19/14,34.35
11/18/14,34.71
11/17/14,34.24
11/14/14,33.95
11/13/14,33.68
11/12/14,33.38
11/11/14,33.31
11/10/14,33.26
11/7/14,33.58
11/6/14,33.82
11/5/14,33.76
11/4/14,34.54
11/3/14,34.31
10/31/14,34.01
10/30/14,32.58
10/29/14,33.92
10/28/14,33.74
10/27/14,33.2
10/24/14,33.18
10/23/14,32.69
10/22/14,32.27
10/21/14,32.61
10/20/14,31.58
10/17/14,31.38
10/16/14,30.85
10/15/14,31.275
10/14/14,32.14
10/13/14,31.47
10/10/14,31.91
10/9/14,33.62
10/8/14,34.27
10/7/14,33.47
10/6/14,34.11
10/3/14,34.03
10/2/14,33.52
10/1/14,33.99
9/30/14,34.82
9/29/14,34.9
9/26/14,34.26
9/25/14,34.14
9/24/14,34.75
9/23/14,34.42
9/22/14,34.71
9/19/14,34.82
9/18/14,35.17
9/17/14,34.98
9/16/14,34.93
9/15/14,34.54
9/12/14,34.62
9/11/14,35.02
9/10/14,35.02
9/9/14,34.91
9/8/14,35.33
9/5/14,35
9/4/14,34.905
9/3/14,34.57
9/2/14,34.57
8/29/14,34.92
8/28/14,34.65
8/27/14,34.79
8/26/14,34.8
8/25/14,34.81
8/22/14,34.94
8/21/14,35.15
8/20/14,34.5
8/19/14,34.34
8/18/14,34.41
8/15/14,34.17
8/14/14,33.94
8/13/14,34.1
8/12/14,33.13
8/11/14,33.02
8/8/14,32.6
8/7/14,32.68
8/6/14,32.845
8/5/14,32.82
8/4/14,34.05
8/1/14,33.745
7/31/14,33.89
7/30/14,34.35
7/29/14,34.19
7/28/14,34.23
7/25/14,34.25
7/24/14,34.25
7/23/14,34.5
7/22/14,34.7901
7/21/14,34.06
7/18/14,33.7
7/17/14,33.7
7/16/14,34.65
7/15/14,31.71
7/14/14,31.49
7/11/14,31.25
7/10/14,31.26
7/9/14,30.89
7/8/14,30.79
7/7/14,31.03
7/3/14,31.14
7/2/14,30.98
7/1/14,30.98
6/30/14,30.9
6/27/14,30.93
6/26/14,30.78
6/25/14,30.88
6/24/14,30.5
6/23/14,30.23
6/20/14,30.2
6/19/14,30.09
6/18/14,29.93
6/17/14,29.95
6/16/14,30.01
6/13/14,29.87
6/12/14,27.96
6/11/14,27.93
6/10/14,28.24
6/9/14,27.91
6/6/14,28.17
6/5/14,27.66
6/4/14,27.6
6/3/14,27.66
6/2/14,27.26
5/30/14,27.32
5/29/14,26.96
5/28/14,26.88
5/27/14,26.71
5/23/14,26.289
5/22/14,26.15
5/21/14,26.2
5/20/14,26.04
5/19/14,26.04
5/16/14,25.82
5/15/14,26.01
5/14/14,26.33
5/13/14,26.45
5/12/14,26.37
5/9/14,26.3
5/8/14,26.34
5/7/14,26.37
5/6/14,26.2
5/5/14,26.17
5/2/14,26.41
5/1/14,26.45
4/30/14,26.69
4/29/14,26.48
4/28/14,26.33
4/25/14,26.26
4/24/14,26.75
4/23/14,26.75
4/22/14,26.84
4/21/14,26.95
4/17/14,27.04
4/16/14,26.93
4/15/14,26.77
4/14/14,26.56
4/11/14,26.1799
4/10/14,26.425
4/9/14,26.98
4/8/14,26.91
4/7/14,26.485
4/4/14,26.16
4/3/14,26.41
4/2/14,25.89
4/1/14,25.99
3/31/14,25.814
3/28/14,25.62
3/27/14,25.31
3/26/14,25.3772
3/25/14,25.46
3/24/14,25.12
3/21/14,25.17
3/20/14,25.425
3/19/14,25.02
3/18/14,24.82
3/17/14,24.7
3/14/14,24.5
3/13/14,24.57
3/12/14,24.76
3/11/14,24.73
3/10/14,24.84
3/7/14,24.64
3/6/14,24.63
3/5/14,24.5
3/4/14,24.61
3/3/14,24.5
2/28/14,24.76
2/27/14,24.76
2/26/14,24.8
2/25/14,24.62
2/24/14,24.63
2/21/14,24.42
2/20/14,24.74
2/19/14,24.5
2/18/14,24.76
2/14/14,24.755
2/13/14,24.7
2/12/14,24.55
2/11/14,24.47
2/10/14,24.29
2/7/14,24.205
2/6/14,23.99
2/5/14,23.52
2/4/14,23.82
2/3/14,23.95
1/31/14,24.54
1/30/14,24.74
1/29/14,24.68
1/28/14,24.9
1/27/14,24.72
1/24/14,24.81
1/23/14,25.13
1/22/14,25.31
1/21/14,25.59
1/17/14,25.85
1/16/14,26.54
1/15/14,26.67
1/14/14,26.51
1/13/14,25.5
1/10/14,25.53
1/9/14,25.31
1/8/14,25.43
1/7/14,25.585
1/6/14,25.46
1/3/14,25.78
1/2/14,25.79
12/31/13,25.955
12/30/13,25.85
12/27/13,25.6
12/26/13,25.7
12/24/13,25.43
12/23/13,25.32
12/20/13,25.055
12/19/13,25.14
12/18/13,25.15
12/17/13,24.655
12/16/13,24.45
12/13/13,24.29
12/12/13,24.47
12/11/13,24.42
12/10/13,24.82
12/9/13,24.93
12/6/13,24.82
12/5/13,24.26
12/4/13,23.74
12/3/13,23.55
12/2/13,23.7
11/29/13,23.84
11/27/13,23.9
11/26/13,23.65
11/25/13,23.75
11/22/13,23.87
11/21/13,25.23
11/20/13,24.56
11/19/13,24.7
11/18/13,24.6
11/15/13,24.52
11/14/13,24.385
11/13/13,24.6
11/12/13,24.43
11/11/13,24.169
11/8/13,24.09
11/7/13,24.059
11/6/13,24.245
11/5/13,24.03
11/4/13,24.255
11/1/13,24.325
10/31/13,24.47
10/30/13,24.495
10/29/13,24.523
10/28/13,24.36
10/25/13,24.235
10/24/13,23.78
10/23/13,23.735
10/22/13,24.071
10/21/13,24.135
10/18/13,23.875
