date,NVDA
2/26/18,246.58
2/23/18,245.93
2/22/18,242.15
2/21/18,241.51
2/20/18,249.08
2/16/18,243.84
2/15/18,246.5
2/14/18,241.42
2/13/18,232.63
2/12/18,228.03
2/9/18,232.08
2/8/18,217.52
2/7/18,228.8
2/6/18,225.58
2/5/18,213.7
2/2/18,233.52
2/1/18,240.5
1/31/18,245.8
1/30/18,242.72
1/29/18,246.85
1/26/18,243.33
1/25/18,236.35
1/24/18,235.8
1/23/18,238.91
1/22/18,233.69
1/19/18,230.11
1/18/18,224.44
1/17/18,224.72
1/16/18,220.11
1/12/18,222.98
1/11/18,224.08
1/10/18,223.68
1/9/18,221.94
1/8/18,222
1/5/18,215.4
1/4/18,213.59
1/3/18,212.47
1/2/18,199.35
12/29/17,193.5
12/28/17,197.4
12/27/17,197.17
12/26/17,197.44
12/22/17,195.27
12/21/17,195.89
12/20/17,196.8
12/19/17,196.11
12/18/17,197.9
12/15/17,191.56
12/14/17,186.47
12/13/17,186.18
12/12/17,190.84
12/11/17,194.66
12/8/17,191.49
12/7/17,191.99
12/6/17,189.26
12/5/17,187.74
12/4/17,186.66
12/1/17,197.68
11/30/17,200.71
11/29/17,196.42
11/28/17,210.71
11/27/17,214.14
11/24/17,216.96
11/22/17,214.93
11/21/17,216.05
11/20/17,214.08
11/17/17,211.36
11/16/17,211.61
11/15/17,209.98
11/14/17,214.18
11/13/17,212.63
11/10/17,216.14
11/9/17,205.32
11/8/17,209.16
11/7/17,212.03
11/6/17,209.63
11/3/17,208.69
11/2/17,205.94
11/1/17,207.2
10/31/17,206.81
10/30/17,203.84
10/27/17,201.86
10/26/17,195.69
10/25/17,193.66
10/24/17,198.68
10/23/17,196.62
10/20/17,196.9
10/19/17,197.8
10/18/17,197.58
10/17/17,197.75
10/16/17,197.93
10/13/17,194.59
10/12/17,191.03
10/11/17,190.94
10/10/17,188.93
10/9/17,185.39
10/6/17,181.3
10/5/17,180.77
10/4/17,180.87
10/3/17,179.37
10/2/17,179
9/29/17,178.77
9/28/17,175.68
9/27/17,175.73
9/26/17,171.96
9/25/17,171
9/22/17,179
9/21/17,180.76
9/20/17,185.84
9/19/17,187.35
9/18/17,187.55
9/15/17,180.11
9/14/17,169.4
9/13/17,170.37
9/12/17,169.61
9/11/17,169
9/8/17,163.69
9/7/17,166.58
9/6/17,165.81
9/5/17,165.91
9/1/17,170.46
8/31/17,169.44
8/30/17,165.68
8/29/17,164.7
8/28/17,164.97
8/25/17,163.81
8/24/17,165.19
8/23/17,165.8
8/22/17,162.55
8/21/17,159.15
8/18/17,161.5
8/17/17,161.47
8/16/17,165.15
8/15/17,166.98
8/14/17,168.4
8/11/17,155.96
8/10/17,164.74
8/9/17,172.11
8/8/17,170.3
8/7/17,172.35
8/4/17,167.21
8/3/17,166.48
8/2/17,164.39
8/1/17,164.49
7/31/17,162.51
7/28/17,164.39
7/27/17,161.74
7/26/17,167.26
7/25/17,165.35
7/24/17,166.15
7/21/17,168.1
7/20/17,167.5
7/19/17,165.1
7/18/17,165.96
7/17/17,164.25
7/14/17,164.95
7/13/17,160.63
7/12/17,162.51
7/11/17,155.88
7/10/17,153.7
7/7/17,146.76
7/6/17,143.48
7/5/17,143.05
7/3/17,139.33
6/30/17,144.56
6/29/17,146.68
6/28/17,151.75
6/27/17,146.58
6/26/17,152.15
6/23/17,153.83
6/22/17,158.37
6/21/17,159.47
6/20/17,157.09
6/19/17,157.32
6/16/17,151.62
6/15/17,152.37
6/14/17,151.72
6/13/17,151.4
6/12/17,149.97
6/9/17,149.6
6/8/17,159.94
6/7/17,149.12
6/6/17,147.34
6/5/17,148.01
6/2/17,143.64
6/1/17,144.36
5/31/17,144.35
5/30/17,144.87
5/26/17,141.84
5/25/17,138.26
5/24/17,138.57
5/23/17,137.03
5/22/17,138.9
5/19/17,136
5/18/17,133.07
5/17/17,127.72
5/16/17,136.81
5/15/17,134.31
5/12/17,127.89
5/11/17,126.5
5/10/17,121.29
5/9/17,102.94
5/8/17,102.77
5/5/17,103.86
5/4/17,103.85
5/3/17,104.25
5/2/17,103.48
5/1/17,106.64
4/28/17,104.3
4/27/17,105.64
4/26/17,104.02
4/25/17,104.74
4/24/17,102.95
4/21/17,101.68
4/20/17,101.26
4/19/17,99.68
4/18/17,99.29
4/17/17,99.23
4/13/17,95.49
4/12/17,97.31
4/11/17,98.12
4/10/17,97.77
4/7/17,100.33
4/6/17,100.76
4/5/17,100.03
4/4/17,100.78
4/3/17,108.38
3/31/17,108.93
3/30/17,109.4
3/29/17,107.34
3/28/17,107.69
3/27/17,108.25
3/24/17,107.47
3/23/17,107.09
3/22/17,108.07
3/21/17,105.91
3/20/17,109.45
3/17/17,106.07
3/16/17,103.81
3/15/17,102.55
3/14/17,101.78
3/13/17,101.85
3/10/17,99.12
3/9/17,98.54
3/8/17,98.56
3/7/17,98.74
3/6/17,97.67
3/3/17,98.43
3/2/17,99
3/1/17,102.79
2/28/17,101.48
2/27/17,104.41
2/24/17,101.46
2/23/17,100.49
2/22/17,110.76
2/21/17,111.07
2/17/17,107.23
2/16/17,107.25
2/15/17,109
2/14/17,108.78
2/13/17,108.38
2/10/17,113.62
2/9/17,116.38
2/8/17,118.61
2/7/17,119.13
2/6/17,117.31
2/3/17,114.38
2/2/17,115.39
2/1/17,113.95
1/31/17,109.18
1/30/17,110.02
1/27/17,111.77
1/26/17,109.65
1/25/17,107.79
1/24/17,107.33
1/23/17,105.09
1/20/17,104.01
1/19/17,105.16
1/18/17,102.95
1/17/17,101.11
1/13/17,103.43
1/12/17,103.44
1/11/17,105.16
1/10/17,106.47
1/9/17,107.28
1/6/17,103.1
1/5/17,101.74
1/4/17,104.39
1/3/17,102.01
12/30/16,106.74
12/29/16,111.43
12/28/16,109.25
12/27/16,117.32
12/23/16,109.78
12/22/16,107.11
12/21/16,105.83
12/20/16,105.17
12/19/16,101.63
12/16/16,100.41
12/15/16,98.71
12/14/16,96.45
12/13/16,91.17
12/12/16,89.59
12/9/16,91.82
12/8/16,93.48
12/7/16,95.07
12/6/16,93.39
12/5/16,91.88
12/2/16,88.45
12/1/16,87.64
11/30/16,92.2
11/29/16,93.25
11/28/16,94.11
11/25/16,94.16
11/23/16,93.97
11/22/16,93.65
11/21/16,92.98
11/18/16,93.36
11/17/16,92.39
11/16/16,91.63
11/15/16,86.19
11/14/16,83.64
11/11/16,87.97
11/10/16,67.77
11/9/16,69.96
11/8/16,71.16
11/7/16,71.27
11/4/16,67.57
11/3/16,67.96
11/2/16,68.76
11/1/16,69.05
10/31/16,71.16
10/28/16,70.56
10/27/16,70.68
10/26/16,72.16
10/25/16,71.87
10/24/16,70.71
10/21/16,67.54
10/20/16,67.73
10/19/16,66.47
10/18/16,66.61
10/17/16,65.61
10/14/16,65.99
10/13/16,65.35
10/12/16,66.43
10/11/16,66.13
10/10/16,67.1
10/7/16,66.85
10/6/16,67.34
10/5/16,68.23
10/4/16,68.3
10/3/16,68.45
9/30/16,68.52
9/29/16,67.4
9/28/16,66.78
9/27/16,66.54
9/26/16,64.34
9/23/16,64.95
9/22/16,65.02
9/21/16,64.86
9/20/16,63.09
9/19/16,63.67
9/16/16,62.84
9/15/16,62.69
9/14/16,60.4
9/13/16,59.87
9/12/16,60.75
9/9/16,59.52
9/8/16,62.64
9/7/16,62.19
9/6/16,63.12
9/2/16,62.53
9/1/16,63.15
8/31/16,61.34
8/30/16,61.63
8/29/16,61.99
8/26/16,62.03
8/25/16,61.53
8/24/16,61.94
8/23/16,62.91
8/22/16,62.52
8/19/16,62.26
8/18/16,62.1
8/17/16,61.15
8/16/16,62.6
8/15/16,62.98
8/12/16,63.04
8/11/16,59.7
8/10/16,58.51
8/9/16,58.89
8/8/16,58.74
8/5/16,58.2
8/4/16,57.23
8/3/16,56.19
8/2/16,56.04
8/1/16,56.73
7/29/16,57.1
7/28/16,56.18
7/27/16,56.06
7/26/16,56.63
7/25/16,55.68
7/22/16,54.67
7/21/16,53.22
7/20/16,54.22
7/19/16,53.52
7/18/16,52.97
7/15/16,52.7
7/14/16,53.32
7/13/16,52.78
7/12/16,52.8
7/11/16,52.02
7/8/16,50.85
7/7/16,48.89
7/6/16,47.65
7/5/16,47.35
7/1/16,46.66
6/30/16,47.01
6/29/16,46.65
6/28/16,45.9
6/27/16,45.24
6/24/16,45.73
6/23/16,48.49
6/22/16,47.23
6/21/16,47.27
6/20/16,47.56
6/17/16,46.72
6/16/16,47.55
6/15/16,47.36
6/14/16,46.88
6/13/16,46.79
6/10/16,46.2
6/9/16,47.38
6/8/16,46.18
6/7/16,46.33
6/6/16,46.24
6/3/16,46.48
6/2/16,47.14
6/1/16,46.81
5/31/16,46.72
5/27/16,45.9
5/26/16,45.65
5/25/16,45.17
5/24/16,45.36
5/23/16,44.4
5/20/16,44.33
5/19/16,43.55
5/18/16,43.36
5/17/16,42.28
5/16/16,42.19
5/13/16,40.98
5/12/16,35.57
5/11/16,36.06
5/10/16,35.96
5/9/16,35.28
5/6/16,35.33
5/5/16,34.97
5/4/16,34.76
5/3/16,35.57
5/2/16,36
4/29/16,35.53
4/28/16,36.2
4/27/16,37.31
4/26/16,36.48
4/25/16,36.45
4/22/16,36.27
4/21/16,36.41
4/20/16,36.45
4/19/16,36.31
4/18/16,36.97
4/15/16,37.13
4/14/16,36.84
4/13/16,36.74
4/12/16,35.84
4/11/16,35.88
4/8/16,35.66
4/7/16,35.43
4/6/16,35.8
4/5/16,35.75
4/4/16,35.8
4/1/16,36.15
3/31/16,35.63
3/30/16,35.76
3/29/16,35.39
3/28/16,34.83
3/24/16,34.48
3/23/16,34.43
3/22/16,33.85
3/21/16,33.91
3/18/16,33.81
3/17/16,32.82
3/16/16,33.1
3/15/16,32.14
3/14/16,32.3
3/11/16,32.22
3/10/16,31.68
3/9/16,31.73
3/8/16,31.75
3/7/16,32.34
3/4/16,32.55
3/3/16,32.65
3/2/16,32.94
3/1/16,32.75
2/29/16,31.36
2/26/16,31.68
2/25/16,31.89
2/24/16,31.82
2/23/16,31.6
2/22/16,31.52
2/19/16,30.44
2/18/16,30.04
2/17/16,27.66
2/16/16,26.99
2/12/16,25.73
2/11/16,25.3
2/10/16,25.43
2/9/16,25.49
2/8/16,25.22
2/5/16,26.43
2/4/16,28.21
2/3/16,28.2
2/2/16,28.06
2/1/16,29.3
1/29/16,29.29
1/28/16,28.05
1/27/16,28.36
1/26/16,28.7
1/25/16,28.42
1/22/16,28.45
1/21/16,27.8
1/20/16,27.48
1/19/16,27.33
1/15/16,27.11
1/14/16,28.67
1/13/16,29.26
1/12/16,30.18
1/11/16,29.68
1/8/16,29.63
1/7/16,30.28
1/6/16,31.53
1/5/16,32.89
1/4/16,32.37
12/31/15,32.96
12/30/15,33.39
12/29/15,33.68
12/28/15,33.14
12/24/15,33.17
12/23/15,33.055
12/22/15,32.93
12/21/15,32.895
12/18/15,32.14
12/17/15,32.67
12/16/15,33.17
12/15/15,32.97
12/14/15,32.57
12/11/15,32.49
12/10/15,32.98
12/9/15,32.71
12/8/15,33.56
12/7/15,33.11
12/4/15,33.75
12/3/15,32.43
12/2/15,32.5
12/1/15,32.75
11/30/15,31.72
11/27/15,31.39
11/25/15,31.13
11/24/15,31.17
11/23/15,30.92
11/20/15,31.39
11/19/15,31.12
11/18/15,31.03
11/17/15,30.4
11/16/15,30.4
11/13/15,29.8
11/12/15,30.4
11/11/15,30.51
11/10/15,30.81
11/9/15,31.41
11/6/15,31.55
11/5/15,27.71
11/4/15,28.03
11/3/15,28.5
11/2/15,28.7
10/30/15,28.37
10/29/15,27.68
10/28/15,28.67
10/27/15,28.44
10/26/15,28.46
10/23/15,28.59
10/22/15,28.4
10/21/15,27.41
10/20/15,27.77
10/19/15,27.81
10/16/15,27.86
10/15/15,27.43
10/14/15,27.36
10/13/15,26.4
10/12/15,26.35
10/9/15,26.07
10/8/15,26.17
10/7/15,26.02
10/6/15,25.75
10/5/15,25.42
10/2/15,24.8
10/1/15,24.17
9/30/15,24.65
9/29/15,23.71
9/28/15,23.3
9/25/15,23.61
9/24/15,23.44
9/23/15,23
9/22/15,22.89
9/21/15,23.53
9/18/15,23.29
9/17/15,23.31
9/16/15,23.1
9/15/15,22.94
9/14/15,22.69
9/11/15,22.65
9/10/15,22.58
9/9/15,22.23
9/8/15,22.68
9/4/15,21.75
9/3/15,22.27
9/2/15,22.21
9/1/15,21.56
8/31/15,22.48
8/28/15,22.73
8/27/15,22.63
8/26/15,21.81
8/25/15,20.28
8/24/15,20.71
8/21/15,21.47
8/20/15,22.16
8/19/15,22.99
8/18/15,23.08
8/17/15,23.39
8/14/15,23.54
8/13/15,23.52
8/12/15,23.72
8/11/15,23.66
8/10/15,23.78
8/7/15,22.98
8/6/15,20.45
8/5/15,20.58
8/4/15,20.37
8/3/15,20.29
7/31/15,19.95
7/30/15,20.02
7/29/15,19.97
7/28/15,19.73
7/27/15,19.31
7/24/15,19.42
7/23/15,19.65
7/22/15,19.405
7/21/15,19.79
7/20/15,19.7
7/17/15,20.07
7/16/15,20.19
7/15/15,19.75
7/14/15,19.89
7/13/15,19.88
7/10/15,19.75
7/9/15,19.41
7/8/15,19.65
7/7/15,19.79
7/6/15,20.17
7/2/15,20.42
7/1/15,20.4
6/30/15,20.11
6/29/15,20.12
6/26/15,20.74
6/25/15,21.17
6/24/15,21.01
6/23/15,21.22
6/22/15,21.775
6/19/15,21.87
6/18/15,21.94
6/17/15,21.58
6/16/15,21.33
6/15/15,21.07
6/12/15,21.11
6/11/15,21.7
6/10/15,21.47
6/9/15,21.86
6/8/15,21.75
6/5/15,22.26
6/4/15,22.09
6/3/15,21.7
6/2/15,21.935
6/1/15,22.38
5/29/15,22.13
5/28/15,22.14
5/27/15,21.84
5/26/15,20.73
5/22/15,20.86
5/21/15,20.89
5/20/15,21.04
5/19/15,21.04
5/18/15,21.27
5/15/15,21.3
5/14/15,21.29
5/13/15,20.95
5/12/15,20.83
5/11/15,20.63
5/8/15,20.825
5/7/15,22.49
5/6/15,22.1
5/5/15,22.03
5/4/15,22.61
5/1/15,22.75
4/30/15,22.195
4/29/15,22.14
4/28/15,22.305
4/27/15,22.2
4/24/15,22.03
4/23/15,22.22
4/22/15,22.31
4/21/15,22.055
4/20/15,22.09
4/17/15,22.2
4/16/15,22.49
4/15/15,22.63
4/14/15,22.36
4/13/15,22.55
4/10/15,22.76
4/9/15,22.525
4/8/15,22.02
4/7/15,21.86
4/6/15,21.665
4/2/15,21.06
4/1/15,21.01
3/31/15,20.925
3/30/15,21.47
3/27/15,21.38
3/26/15,20.965
3/25/15,21.04
3/24/15,22.4
3/23/15,22.71
3/20/15,23.47
3/19/15,23.215
3/18/15,22.87
3/17/15,23.25
3/16/15,22.97
3/13/15,22.7
3/12/15,22.67
3/11/15,22.88
3/10/15,22.995
3/9/15,22.61
3/6/15,22.55
3/5/15,22.86
3/4/15,22.43
3/3/15,22.18
3/2/15,22.595
2/27/15,22.06
2/26/15,22.2
2/25/15,22.14
2/24/15,22.31
2/23/15,22.16
2/20/15,22.335
2/19/15,22.175
2/18/15,22.12
2/17/15,22.375
2/13/15,22.31
2/12/15,22.3
2/11/15,20.81
2/10/15,20.95
2/9/15,20.38
2/6/15,20.4
2/5/15,20.485
2/4/15,20.16
2/3/15,20.11
2/2/15,19.62
1/30/15,19.205
1/29/15,19.78
1/28/15,19.31
1/27/15,19.63
1/26/15,20.615
1/23/15,20.71
1/22/15,20.65
1/21/15,20.3
1/20/15,20.02
1/16/15,19.96
1/15/15,19.6
1/14/15,19.74
1/13/15,19.655
1/12/15,19.69
1/9/15,19.94
1/8/15,19.86
1/7/15,19.135
1/6/15,19.19
1/5/15,19.79
1/2/15,20.13
12/31/14,20.05
12/30/14,20.37
12/29/14,20.56
12/26/14,20.59
12/24/14,20.57
12/23/14,20.65
12/22/14,20.78
12/19/14,20.42
12/18/14,20.22
12/17/14,20.14
12/16/14,19.345
12/15/14,19.57
12/12/14,19.63
12/11/14,20.26
12/10/14,20.27
12/9/14,20.73
12/8/14,20.8
12/5/14,21.07
12/4/14,20.95
12/3/14,21.14
12/2/14,20.61
12/1/14,20.58
11/28/14,20.97
11/26/14,20.915
11/25/14,20.57
11/24/14,20.58
11/21/14,20.455
11/20/14,20.34
11/19/14,20.01
11/18/14,20.17
11/17/14,19.695
11/14/14,19.785
11/13/14,19.55
11/12/14,19.645
11/11/14,19.78
11/10/14,20.02
11/7/14,19.79
11/6/14,20.22
11/5/14,20.13
11/4/14,20.13
11/3/14,19.87
10/31/14,19.54
10/30/14,18.69
10/29/14,18.805
10/28/14,18.93
10/27/14,18.49
10/24/14,18.48
10/23/14,18.285
10/22/14,17.89
10/21/14,18.32
10/20/14,17.57
10/17/14,17.42
10/16/14,17.45
10/15/14,17.44
10/14/14,17.175
10/13/14,16.785
10/10/14,16.845
10/9/14,17.91
10/8/14,18.26
10/7/14,17.925
10/6/14,18.12
10/3/14,18.23
10/2/14,18.19
10/1/14,18.27
9/30/14,18.45
9/29/14,18.515
9/26/14,18.545
9/25/14,18.51
9/24/14,18.92
9/23/14,18.81
9/22/14,18.89
9/19/14,19.08
9/18/14,19.44
9/17/14,19.15
9/16/14,19.135
9/15/14,18.86
9/12/14,19.12
9/11/14,19.41
9/10/14,19.61
9/9/14,19.54
9/8/14,19.79
9/5/14,19.97
9/4/14,20.03
9/3/14,19.685
9/2/14,19.495
8/29/14,19.45
8/28/14,19.39
8/27/14,19.23
8/26/14,19.455
8/25/14,19.11
8/22/14,19.08
8/21/14,19.07
8/20/14,19.25
8/19/14,19.37
8/18/14,19.3
8/15/14,19.04
8/14/14,18.8
8/13/14,19.01
8/12/14,18.9
8/11/14,18.9
8/8/14,19
8/7/14,17.46
8/6/14,17.64
8/5/14,17.66
8/4/14,17.65
8/1/14,17.69
7/31/14,17.5
7/30/14,18.08
7/29/14,17.78
7/28/14,17.72
7/25/14,17.79
7/24/14,18.11
7/23/14,18.08
7/22/14,18.47
7/21/14,18.55
7/18/14,18.44
7/17/14,19.3
7/16/14,19.35
7/15/14,19.37
7/14/14,19.29
7/11/14,19.05
7/10/14,19.005
7/9/14,19.11
7/8/14,18.55
7/7/14,18.7
7/3/14,18.85
7/2/14,18.6825
7/1/14,18.75
6/30/14,18.54
6/27/14,18.38
6/26/14,18.36
6/25/14,18.61
6/24/14,18.42
6/23/14,18.71
6/20/14,18.93
6/19/14,19.138
6/18/14,19.59
6/17/14,19.61
6/16/14,19.48
6/13/14,19.54
6/12/14,19.52
6/11/14,19.4
6/10/14,19.15
6/9/14,19.05
6/6/14,19.03
6/5/14,18.96
6/4/14,18.88
6/3/14,18.86
6/2/14,18.94
5/30/14,19
5/29/14,18.95
5/28/14,18.98
5/27/14,18.82
5/23/14,18.49
5/22/14,18.32
5/21/14,18.24
5/20/14,18.24
5/19/14,18.54
5/16/14,17.96
5/15/14,18
5/14/14,18.1
5/13/14,18.28
5/12/14,18.58
5/9/14,18.05
5/8/14,18.5
5/7/14,18.275
5/6/14,18.25
5/5/14,18.63
5/2/14,18.43
5/1/14,18.57
4/30/14,18.47
4/29/14,18.69
4/28/14,18.65
4/25/14,18.73
4/24/14,19.26
4/23/14,19.09
4/22/14,18.87
4/21/14,18.71
4/17/14,18.56
4/16/14,18.49
4/15/14,18.45
4/14/14,18.32
4/11/14,18.12
4/10/14,18.38
4/9/14,18.84
4/8/14,18.86
4/7/14,18.21
4/4/14,18.15
4/3/14,18.73
4/2/14,18.53
4/1/14,18.65
3/31/14,17.91
3/28/14,17.9
3/27/14,17.79
3/26/14,18.03
3/25/14,18.45
3/24/14,18.45
3/21/14,18.54
3/20/14,18.57
3/19/14,18.555
3/18/14,18.24
3/17/14,17.82
3/14/14,17.82
3/13/14,17.74
3/12/14,18.32
3/11/14,18.27
3/10/14,18.09
3/7/14,18.36
3/6/14,18.38
3/5/14,18.64
3/4/14,18.48
3/3/14,18.29
2/28/14,18.38
2/27/14,18.5
2/26/14,18.71
2/25/14,18.74
2/24/14,18.91
2/21/14,18.64
2/20/14,18.78
2/19/14,18.14
2/18/14,17.9
2/14/14,17.91
2/13/14,17.36
2/12/14,16.83
2/11/14,16.25
2/10/14,15.92
2/7/14,15.87
2/6/14,15.64
2/5/14,15.44
2/4/14,15.58
2/3/14,15.49
1/31/14,15.7
1/30/14,15.72
1/29/14,15.46
1/28/14,15.61
1/27/14,15.46
1/24/14,15.56
1/23/14,15.97
1/22/14,16.03
1/21/14,16.05
1/17/14,15.99
1/16/14,16.06
1/15/14,16.01
1/14/14,15.84
1/13/14,15.36
1/10/14,15.73
1/9/14,15.75
1/8/14,16.36
1/7/14,16.14
1/6/14,15.88
1/3/14,15.67
1/2/14,15.86
12/31/13,16.02
12/30/13,15.97
12/27/13,15.76
12/26/13,15.67
12/24/13,15.82
12/23/13,15.78
12/20/13,15.685
12/19/13,15.38
12/18/13,15.32
12/17/13,15.11
12/16/13,15.04
12/13/13,15.02
12/12/13,15.11
12/11/13,15.41
12/10/13,15.56
12/9/13,15.205
12/6/13,15.47
12/5/13,15.7
12/4/13,15.96
12/3/13,15.74
12/2/13,15.75
11/29/13,15.6
11/27/13,15.7
11/26/13,15.64
11/25/13,15.51
11/22/13,15.18
11/21/13,15.33
11/20/13,15.21
11/19/13,15.44
11/18/13,15.78
11/15/13,16.17
11/14/13,16.22
11/13/13,16.15
11/12/13,15.715
11/11/13,15.69
11/8/13,15.56
11/7/13,14.545
11/6/13,14.9
11/5/13,14.8
11/4/13,14.82
11/1/13,15.255
10/31/13,15.189
10/30/13,15.22
10/29/13,15.23
10/28/13,15.21
10/25/13,15.24
10/24/13,15.385
10/23/13,15.501
10/22/13,15.77
10/21/13,15.85
10/18/13,15.81
10/17/13,15.63
